bucket,total,--,AD,AE,AL,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GE,GH,GR,GT,HK,HR,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JO,JP,KE,KG,KH,KR,KZ,LA,LK,LT,LU,MA,MD,MK,MM,MN,MO,MW,MX,MY,MZ,NA,NG,NI,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PR,PT,PY,QA,RO,RS,RU,RW,SA,SC,SD,SE,SG,SK,SN,SV,SY,TH,TN,TR,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2022-09-01,1552,23,0,7,0,0,12,2,20,0,0,2,5,0,0,25,0,1,61,5,1,0,87,3,1,0,0,0,178,5,1,0,1,0,19,1,1,51,87,0,0,5,1,36,0,0,9,18,2,21,0,3,63,1,0,31,1,0,3,24,0,2,0,1,0,0,1,0,0,0,0,0,9,7,0,0,1,0,70,6,0,2,1,0,0,5,2,6,0,7,1,0,4,0,22,2,0,0,0,14,46,3,0,0,1,43,0,8,27,1,5,0,421,0,1,2,10,3,0,1
2022-09-02,1623,18,1,7,1,0,14,2,35,0,1,0,2,1,2,22,0,0,66,7,3,0,130,0,0,0,0,2,156,1,1,0,1,0,29,0,1,60,63,0,0,2,0,26,0,0,6,16,2,30,0,1,46,0,0,30,0,0,1,21,2,2,0,1,0,2,0,0,1,1,0,1,7,6,0,0,1,0,69,3,0,1,1,0,1,7,1,14,0,4,1,0,4,0,17,2,0,0,1,12,34,2,0,0,1,42,0,8,25,0,4,0,524,0,1,1,9,1,0,2
2022-09-03,1262,11,0,2,0,0,11,3,28,0,0,1,9,2,1,17,0,3,51,6,2,0,111,4,0,0,0,1,141,6,0,1,1,0,24,0,2,46,50,1,1,3,0,52,1,2,4,1,4,11,0,2,52,0,0,12,1,0,0,33,0,1,1,1,0,2,0,0,0,1,0,0,2,4,0,0,0,0,57,4,0,1,1,0,1,9,0,2,1,6,0,0,8,0,19,1,0,0,0,11,19,2,0,0,1,48,1,11,30,0,1,0,286,1,1,1,9,4,0,0
2022-09-04,1304,16,0,1,0,1,16,1,24,0,1,0,4,3,0,12,0,0,60,5,3,0,110,6,0,0,0,1,132,6,1,1,1,0,34,0,3,55,62,0,0,0,1,29,0,3,5,14,0,9,0,4,65,0,0,11,0,0,0,23,1,1,0,1,1,2,1,0,0,0,1,0,4,7,0,0,1,0,62,2,0,0,1,0,1,3,1,4,0,2,0,0,9,0,14,1,0,0,0,14,23,1,0,0,0,45,1,10,34,0,4,0,317,1,0,0,9,0,1,1
2022-09-05,1393,13,0,2,0,0,11,3,26,1,1,0,3,1,0,25,0,0,45,5,2,0,87,2,0,0,0,1,185,7,1,1,0,0,25,0,1,53,49,0,0,5,0,24,1,0,8,18,1,10,0,2,50,0,0,15,2,0,0,15,0,0,0,1,1,0,2,0,0,0,0,0,9,3,0,0,1,0,76,5,0,2,1,0,0,3,0,3,0,8,0,0,5,0,14,2,1,0,0,17,26,2,0,0,0,52,0,11,21,0,0,0,413,0,2,0,8,1,0,2
2022-09-06,1212,19,0,2,0,0,10,5,9,1,1,0,5,1,2,20,0,1,59,6,6,0,75,2,0,0,0,0,183,3,1,1,1,0,25,0,1,58,65,0,1,4,0,17,2,1,4,3,1,21,0,0,56,0,0,13,0,0,0,18,0,1,0,2,1,1,0,0,0,0,0,1,5,4,0,0,3,0,59,2,0,4,0,0,0,2,0,4,0,5,0,0,5,0,19,2,0,0,0,15,21,1,0,0,0,43,0,9,23,0,2,0,268,0,0,1,5,1,0,0
2022-09-07,1412,11,0,1,0,0,4,4,14,0,2,0,4,0,1,25,0,1,65,8,9,0,125,5,0,0,0,1,193,2,1,1,1,1,24,1,1,45,54,0,0,0,0,18,0,1,4,19,0,12,0,2,50,0,0,18,0,0,0,17,0,0,0,2,0,1,1,0,0,0,0,0,5,5,0,0,7,0,68,4,1,3,0,0,1,4,1,10,0,6,0,0,8,2,13,3,1,0,0,16,32,0,0,0,0,45,1,3,20,1,3,1,390,0,1,1,4,2,0,1
2022-09-08,1765,14,0,4,0,0,7,6,20,0,0,1,7,0,1,18,1,2,85,6,9,1,132,3,0,0,0,0,189,8,1,0,0,1,26,0,2,71,77,0,0,2,0,50,0,3,5,22,1,35,1,5,64,0,0,40,0,0,0,22,0,0,0,0,0,1,0,0,1,1,0,0,3,6,0,0,3,0,54,3,0,3,0,0,2,5,0,5,0,8,2,0,5,0,16,2,0,0,0,24,41,1,0,1,0,68,1,5,10,1,2,0,540,1,0,1,6,1,0,0
2022-09-09,1556,19,0,6,0,0,5,3,33,2,0,1,5,0,1,17,0,1,49,9,3,3,91,3,0,1,0,0,171,2,1,1,2,0,16,0,1,54,61,0,0,3,2,36,0,2,10,18,4,11,0,3,62,0,0,35,0,1,0,11,1,0,0,1,0,0,2,1,0,1,1,0,15,3,1,0,3,0,77,4,1,5,0,1,0,4,1,11,0,5,0,0,5,0,19,2,0,0,1,8,47,0,0,0,0,64,1,8,23,0,2,0,471,0,0,0,6,2,0,0
2022-09-10,1356,19,0,5,0,0,11,2,10,1,0,1,9,0,0,21,0,0,55,10,1,1,62,4,1,0,0,0,143,3,0,1,4,0,23,0,4,49,54,0,0,2,1,73,0,3,4,2,2,10,0,2,67,0,1,22,1,0,0,20,0,0,0,1,0,0,0,2,0,1,0,0,3,8,1,0,1,0,59,4,1,2,0,0,2,4,1,6,0,2,0,1,6,0,10,2,0,1,0,18,19,1,0,0,0,56,0,12,16,0,1,0,403,0,0,1,4,3,0,0
2022-09-11,1547,14,0,1,0,1,8,2,11,1,0,0,5,1,2,17,0,3,64,8,3,0,109,2,0,0,1,2,178,4,0,1,0,1,30,0,2,74,66,0,0,2,1,32,1,4,4,26,4,20,0,0,63,0,0,35,0,0,2,13,1,0,0,3,1,4,0,0,0,0,0,0,4,6,0,0,1,0,67,4,0,2,0,0,2,3,0,6,0,6,0,0,7,1,19,1,0,0,0,21,24,2,1,0,0,47,0,7,21,0,3,0,449,0,1,0,11,4,0,0
2022-09-12,1618,14,0,1,0,0,14,1,34,1,1,3,6,1,0,16,0,1,66,6,3,0,125,5,0,1,0,1,180,4,1,0,1,0,18,0,1,66,67,1,0,4,1,23,1,4,2,22,1,34,0,2,55,0,0,49,0,0,0,25,1,1,0,1,1,2,0,1,0,0,0,0,11,3,0,1,2,3,58,4,1,3,0,0,0,6,0,6,0,6,0,0,12,0,25,2,0,0,0,11,20,1,0,0,0,38,0,9,24,0,1,1,490,1,0,0,8,1,0,1
2022-09-13,1504,15,0,4,0,0,6,3,29,0,0,1,3,1,0,16,0,2,67,9,3,1,72,4,0,0,0,0,191,6,1,0,1,1,20,0,1,63,67,2,0,4,2,22,1,3,7,23,4,9,0,3,50,0,0,22,0,0,0,11,0,1,0,0,0,4,1,1,0,0,1,0,6,1,0,0,1,0,74,2,0,3,0,0,0,4,0,6,0,6,0,0,8,0,33,2,0,0,0,19,27,1,0,0,0,59,0,5,30,0,3,1,444,1,1,0,8,1,0,0
2022-09-14,66,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,14,1,0,0,0,0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0
