bucket,total,--,AE,AM,AR,AT,AU,AZ,BB,BD,BE,BG,BM,BO,BR,BY,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DO,EC,EE,EG,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JO,JP,KE,KH,KR,KZ,LR,LT,MA,MD,MK,MU,MX,MY,MZ,NL,NO,NP,NZ,OM,PE,PH,PK,PL,PT,PY,QA,RO,RU,RW,SE,SG,SK,SY,TH,TN,TR,TW,UA,US,VE,VN,ZA,ZW
2022-08-28T00,114,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,6,0,1,0,17,1,0,11,0,0,0,0,0,1,0,1,4,8,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,1,0,0,5,1,25,0,0,0,1
2022-08-28T01,78,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,0,0,0,13,0,0,8,0,0,0,0,0,1,0,1,2,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5,0,1,0,0,0,5,0,16,0,0,0,0
2022-08-28T02,97,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,0,0,0,16,0,0,6,1,0,0,0,0,0,0,1,3,2,0,0,0,0,2,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,9,0,0,1,0,1,5,0,27,0,0,0,0
2022-08-28T03,85,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,10,0,1,0,18,1,0,5,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,2,1,20,0,1,0,0
2022-08-28T04,79,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,4,1,0,3,0,0,0,0,0,0,0,1,3,2,0,0,0,0,2,0,2,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,7,0,0,1,0,0,4,0,26,2,0,0,0
2022-08-28T05,62,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,2,0,0,4,0,0,1,0,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,0,1,3,0,1,2,0,13,1,0,1,0
2022-08-28T06,62,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,6,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,2,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,7,0,0,1,0,0,4,0,14,0,0,0,0
2022-08-28T07,84,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,7,0,0,1,0,0,2,0,0,8,3,0,0,0,0,1,1,0,0,0,0,1,2,0,3,1,0,3,0,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,6,0,0,1,0,1,3,0,16,0,2,0,1
2022-08-28T08,90,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,7,1,0,12,1,0,0,0,0,1,1,1,9,5,0,0,0,0,3,1,0,0,0,0,1,2,0,1,1,0,3,0,0,0,0,0,1,0,1,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,6,0,0,0,0,0,4,0,4,0,1,0,1
2022-08-28T09,85,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0,0,14,0,0,0,0,0,0,0,0,5,5,0,0,0,0,4,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,3,0,2,6,0,0,6,0,0,3,0,12,0,1,0,0
2022-08-28T10,85,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,14,2,0,0,0,0,1,0,1,6,1,0,0,0,0,4,0,0,0,1,2,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,7,0,0,4,0,0,3,0,10,0,0,0,0
2022-08-28T11,104,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,14,0,0,0,0,0,1,0,0,10,4,0,0,1,0,2,0,0,0,0,3,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,2,0,0,0,0,0,1,3,0,1,6,0,0,10,0,1,6,0,13,0,0,0,0
2022-08-28T12,103,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,3,1,0,14,0,0,0,0,0,1,0,1,8,2,0,0,0,0,5,0,0,0,1,2,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,9,0,0,9,0,0,6,0,11,0,1,0,0
2022-08-28T13,131,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,21,1,0,18,0,0,0,0,0,1,0,1,5,6,0,0,0,0,6,0,0,0,1,3,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,8,0,0,9,0,0,8,0,14,0,0,0,0
2022-08-28T14,143,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,15,1,0,1,0,1,1,0,1,8,6,2,0,0,0,9,1,0,1,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,0,0,0,0,0,4,1,6,11,1,0,11,0,1,8,1,21,0,0,0,0
2022-08-28T15,129,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4,3,1,0,5,0,0,22,0,0,0,0,1,2,0,0,9,6,0,0,0,0,7,0,0,0,0,0,0,11,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,1,0,1,0,0,0,0,4,0,2,8,0,0,7,0,0,5,0,15,0,0,0,0
2022-08-28T16,159,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,14,0,0,33,0,0,0,0,0,5,0,0,9,12,2,0,0,0,6,0,1,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,9,0,0,0,0,1,1,0,0,0,0,0,0,4,0,3,7,0,0,7,0,1,2,0,17,0,1,0,0
2022-08-28T17,171,1,0,0,4,1,0,0,0,0,1,0,0,0,2,0,2,3,1,0,4,0,0,38,2,0,0,0,0,6,0,0,10,8,0,0,0,0,2,2,1,0,0,0,0,14,0,2,0,0,1,0,0,0,0,0,0,0,2,1,0,13,1,0,0,0,0,1,0,0,0,0,0,0,5,0,3,6,0,0,7,0,2,1,0,23,0,1,0,0
2022-08-28T18,173,2,0,0,2,1,0,0,0,0,1,0,0,0,1,0,6,4,0,0,3,0,0,39,1,0,0,0,0,9,0,0,8,9,0,0,0,0,3,2,0,0,0,0,0,9,0,2,0,0,3,0,0,0,0,0,0,1,1,1,0,16,2,0,0,0,0,0,0,1,0,0,1,1,7,0,4,6,0,0,2,0,1,2,0,22,0,0,0,0
2022-08-28T19,186,4,0,0,2,1,0,0,0,0,0,0,0,0,3,1,3,4,0,0,20,0,0,36,0,0,0,0,0,6,0,0,8,10,1,0,0,0,1,1,0,0,1,0,0,11,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,22,2,0,0,0,0,0,0,1,0,1,1,1,6,0,2,7,0,0,2,0,1,1,1,21,0,0,0,0
2022-08-28T20,173,3,0,0,3,3,0,0,0,0,2,0,0,0,1,0,5,3,0,0,10,0,0,32,0,0,0,0,0,3,0,1,9,12,1,0,0,0,2,1,1,0,0,0,0,17,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,1,0,2,0,1,0,1,3,1,1,9,0,0,1,0,2,1,1,16,0,1,1,0
2022-08-28T21,128,1,0,0,5,1,0,0,0,0,0,0,0,0,4,1,6,2,0,0,5,0,0,19,0,0,0,0,0,2,0,1,6,9,0,0,0,0,0,0,1,0,0,1,0,14,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,2,1,0,0,1,4,0,0,6,0,0,1,0,0,0,0,18,0,0,1,0
2022-08-28T22,113,1,0,0,4,0,0,1,0,0,1,0,1,0,3,0,8,1,0,1,5,0,0,14,0,0,0,0,0,2,0,0,5,9,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,1,0,1,1,0,0,0,2,0,1,8,0,0,0,0,1,1,0,20,0,0,0,0
2022-08-28T23,77,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,10,0,0,0,5,1,0,7,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,4,0,0,6,0,0,0,0,0,1,0,20,0,0,0,0
2022-08-29T00,92,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,0,1,0,4,0,0,6,0,0,0,0,0,1,0,0,2,3,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,8,0,0,0,0,0,2,0,30,0,0,0,0
2022-08-29T01,99,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,3,0,0,5,0,0,0,0,0,1,0,0,3,6,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,9,0,0,0,1,1,1,0,41,0,0,0,0
2022-08-29T02,82,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,6,0,0,1,0,0,2,0,0,2,4,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,7,0,0,2,0,0,2,0,26,0,1,0,0
2022-08-29T03,94,2,0,0,3,0,2,0,0,0,0,0,0,0,1,0,5,0,0,0,3,0,0,6,0,0,1,0,0,1,0,0,2,5,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,6,0,0,0,0,0,2,1,32,0,0,0,0
2022-08-29T04,86,2,0,0,2,0,0,1,0,0,0,0,0,0,1,0,6,1,0,0,8,0,0,6,0,0,0,1,0,1,0,0,0,3,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,1,0,0,0,0,5,0,2,6,0,0,1,0,0,0,0,23,0,2,0,0
2022-08-29T05,78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,6,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,1,0,0,0,0,5,0,1,7,0,0,0,0,0,0,0,30,0,1,0,0
2022-08-29T06,67,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,7,0,0,0,0,0,1,0,0,1,5,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,0,23,0,0,0,0
2022-08-29T07,73,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,0,9,0,0,0,0,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,7,0,0,0,0,0,0,0,24,0,0,0,0
