bucket,total,--,AE,AM,AR,AT,AU,AW,BA,BD,BE,BG,BH,BO,BR,BY,CA,CH,CL,CM,CN,CO,CR,CY,CZ,DE,DK,DO,EC,EG,ES,FI,FR,GB,GE,GH,GM,GP,GR,GT,HK,HN,HR,HT,HU,ID,IE,IL,IN,IQ,IR,IT,JM,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LK,LT,LU,LV,MC,MK,MN,MO,MT,MU,MV,MX,MY,MZ,NC,NG,NL,NO,NZ,OM,PA,PE,PF,PH,PK,PL,PR,PS,PT,PY,QA,RO,RS,RU,RW,SA,SD,SE,SG,SK,SV,SY,TG,TH,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,XK,ZA,ZW
2022-06-26T00,120,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,6,0,1,0,14,1,0,0,0,5,0,0,0,0,2,0,2,5,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,2,6,0,0,1,0,0,0,0,0,3,0,0,0,50,0,0,0,2,0,0,0
2022-06-26T01,87,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,1,1,15,1,0,0,0,4,0,0,0,0,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,0,0,1,0,0,0,2,0,0,0,30,0,0,0,3,0,0,0
2022-06-26T02,107,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,10,0,2,0,15,0,0,0,0,4,0,0,0,0,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,0,1,0,0,0,1,0,0,0,37,0,0,0,1,0,1,0
2022-06-26T03,100,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,2,0,2,1,12,2,0,0,0,5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,0,0,0,1,0,0,0,5,0,0,0,40,0,0,0,2,0,1,0
2022-06-26T04,98,0,0,0,1,0,3,0,0,0,1,0,0,0,2,0,1,0,0,0,14,1,0,0,0,5,1,0,0,0,0,0,1,3,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,4,0,0,0,1,7,0,0,0,0,0,1,0,0,4,1,0,0,25,0,0,0,0,0,0,0
2022-06-26T05,95,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,3,0,0,0,15,0,0,0,0,5,1,0,0,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,7,0,0,0,0,1,1,0,0,7,1,0,0,27,0,0,0,1,0,0,0
2022-06-26T06,96,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0,3,0,0,0,16,0,0,0,0,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,0,1,0,0,0,12,0,0,0,28,0,0,0,0,0,0,1
2022-06-26T07,105,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,12,0,0,0,0,6,0,0,0,0,0,1,1,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,8,0,0,0,0,3,0,0,0,9,0,0,0,41,0,0,0,1,0,0,0
2022-06-26T08,138,1,0,2,0,0,3,0,0,2,0,0,0,0,1,1,0,0,2,0,10,1,0,0,0,11,0,0,0,1,0,1,3,2,1,0,1,0,0,0,5,0,0,1,0,0,0,1,0,3,0,5,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,6,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,1,1,1,0,1,1,8,0,0,0,0,2,0,0,0,8,0,0,0,33,0,0,0,1,0,1,0
2022-06-26T09,171,1,0,0,0,0,3,0,0,0,1,0,0,0,1,0,1,0,0,0,18,0,0,0,0,16,1,0,0,0,2,0,4,6,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,12,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,5,0,2,0,9,0,0,0,58,0,1,0,2,0,0,0
2022-06-26T10,131,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,8,0,0,1,0,13,0,0,0,0,1,0,8,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,4,0,0,0,1,7,0,0,0,0,6,0,2,0,5,0,0,0,27,0,1,0,3,0,0,0
2022-06-26T11,139,1,0,0,0,0,1,0,0,0,2,0,0,0,2,0,1,0,1,0,10,0,0,0,0,23,1,0,0,0,0,0,5,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,4,0,0,0,1,7,0,0,0,0,2,0,2,0,8,0,0,0,33,0,0,0,2,0,0,0
2022-06-26T12,149,0,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,5,0,0,0,0,19,0,0,0,0,1,0,5,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,5,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,11,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,1,6,0,0,0,0,5,0,1,0,16,0,0,0,36,0,0,1,2,0,0,0
2022-06-26T13,150,1,0,0,1,0,3,0,0,0,1,0,0,0,1,0,0,3,0,0,11,1,0,0,0,23,1,0,0,1,1,0,5,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,7,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0,1,5,0,0,0,0,6,0,0,0,12,0,0,0,22,0,0,1,5,0,0,0
2022-06-26T14,152,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,10,2,0,0,0,18,1,0,0,0,2,0,7,10,0,0,0,0,0,1,7,0,0,0,0,0,0,0,1,0,0,7,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,7,0,1,0,11,0,2,0,26,0,0,0,0,0,0,0
2022-06-26T15,172,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,14,1,0,0,0,27,1,0,0,0,2,0,7,12,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,14,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,2,8,0,0,1,0,7,0,1,0,10,0,0,1,31,0,0,0,0,0,0,0
2022-06-26T16,178,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,5,0,0,0,14,0,0,0,0,38,1,0,0,0,4,0,9,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,19,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,3,6,0,0,1,0,7,0,0,0,6,0,0,1,31,0,0,0,1,0,0,0
2022-06-26T17,172,2,0,0,0,1,0,0,1,0,1,0,0,0,1,0,4,0,0,0,11,1,0,0,0,33,1,0,0,0,8,1,10,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,13,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,8,0,0,0,0,9,0,0,1,1,0,0,0,34,0,0,0,1,0,1,0
2022-06-26T18,176,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,7,0,0,0,11,1,0,0,0,32,0,0,0,0,8,0,7,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,10,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,2,6,0,0,0,0,5,0,2,0,3,0,0,0,33,0,2,0,0,0,0,0
2022-06-26T19,180,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,1,0,0,12,0,0,0,0,27,2,0,0,0,7,0,12,15,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,8,0,0,0,0,8,0,1,0,2,0,0,0,31,0,0,0,0,1,0,0
2022-06-26T20,178,0,0,0,1,0,0,0,2,0,2,0,0,0,1,0,2,2,0,0,10,0,0,0,0,30,2,0,0,0,5,0,10,8,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,4,0,0,1,2,8,0,0,0,0,4,0,2,0,5,0,0,0,31,0,0,0,0,0,0,0
2022-06-26T21,156,1,0,0,0,2,1,0,1,0,0,1,0,0,2,0,6,3,0,0,9,0,0,0,0,18,2,0,1,0,4,0,8,11,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,1,7,0,0,0,0,3,0,2,0,2,0,0,0,35,0,0,0,1,0,0,0
2022-06-26T22,135,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,8,1,1,0,7,0,0,0,0,13,1,0,0,0,4,0,2,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,6,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,4,0,0,0,1,7,0,0,0,0,2,0,2,0,3,0,0,0,41,1,0,0,0,0,0,0
2022-06-26T23,102,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,8,0,0,0,14,0,0,0,0,8,1,0,0,1,0,0,3,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,0,1,0,2,0,3,0,0,0,31,0,0,0,1,0,0,0
2022-06-27T00,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,11,0,0,0,0,4,1,0,0,0,0,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,7,0,0,0,0,1,0,0,0,1,0,1,0,34,0,0,0,0,0,0,0
2022-06-27T01,93,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14,0,1,0,11,0,0,0,1,4,1,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,7,0,0,0,0,1,0,0,0,4,0,1,0,28,0,0,0,2,0,0,0
2022-06-27T02,102,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,6,0,1,0,12,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,2,6,0,0,0,0,0,0,0,0,4,0,0,0,40,0,0,0,1,0,1,1
2022-06-27T03,80,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,3,1,0,0,0,0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,6,0,0,0,0,1,0,0,0,2,0,0,0,30,0,0,0,1,0,1,0
2022-06-27T04,89,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,0,0,0,14,0,0,0,0,2,1,0,0,0,0,0,2,4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,0,1,0,1,0,2,0,0,0,31,0,0,0,2,0,0,0
2022-06-27T05,82,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,9,0,0,0,0,3,1,0,0,0,0,0,1,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,0,1,0,0,1,1,0,0,0,30,0,0,0,0,0,0,0
2022-06-27T06,110,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,6,1,0,0,0,0,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,0,0,0,0,0,0,0,0,3,0,0,0,53,0,0,0,1,0,0,0
