bucket,total,--,AE,AR,AT,AU,BA,BD,BE,BG,BO,BR,CA,CH,CL,CM,CN,CO,CZ,DE,DK,DZ,ES,ET,FI,FR,GB,GE,GM,GR,GT,HK,HU,ID,IE,IN,IR,IS,IT,JP,KE,KR,KZ,LT,LU,MO,MX,MY,NA,NL,NO,NZ,PH,PK,PL,PT,PY,RO,RS,RU,RW,SE,SG,SI,SK,SR,SY,TH,TR,TW,UA,US,UY,VN,ZA,ZM,ZW
2022-07-17T00,127,2,0,1,1,1,0,0,0,0,0,2,4,0,0,0,14,0,0,9,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,4,0,1,6,0,0,0,0,0,0,2,1,58,0,3,0,0,0
2022-07-17T01,124,2,0,0,0,5,0,0,0,0,0,2,4,0,2,0,15,0,0,4,0,1,0,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,2,4,0,4,2,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,5,0,1,6,0,1,0,0,1,0,6,0,43,0,2,0,0,0
2022-07-17T02,102,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,13,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,4,0,1,2,0,0,0,1,0,0,5,0,1,7,0,0,0,0,0,0,9,0,43,0,1,0,0,0
2022-07-17T03,109,0,0,0,0,14,0,0,0,0,0,0,5,0,0,1,16,1,0,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,1,0,1,0,1,0,0,5,0,2,8,0,0,0,0,0,0,7,0,33,0,0,1,0,0
2022-07-17T04,142,2,0,0,1,3,0,0,0,0,0,0,8,0,0,1,10,2,0,2,0,0,1,0,0,2,10,0,0,0,0,3,0,0,12,0,0,0,0,1,0,7,0,0,0,0,0,1,0,2,0,2,1,0,2,0,0,0,0,4,0,1,8,0,0,0,0,1,0,3,0,50,1,0,1,0,0
2022-07-17T05,99,1,0,0,0,21,0,0,1,0,0,0,7,1,0,0,6,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,5,0,2,7,0,0,0,0,2,0,4,0,25,0,0,0,0,0
2022-07-17T06,127,0,1,1,0,9,0,0,0,0,0,1,6,0,0,0,9,0,0,3,0,0,0,0,0,2,2,0,0,0,0,1,0,0,13,0,0,0,4,0,0,2,0,0,0,0,1,0,0,2,0,1,2,0,0,0,1,0,0,5,0,1,6,0,0,0,0,1,0,4,0,48,0,0,0,0,1
2022-07-17T07,94,0,0,0,0,3,0,0,1,0,0,0,1,2,0,0,9,1,0,6,0,0,0,0,0,5,3,0,0,0,0,1,0,0,11,1,2,0,0,1,0,2,0,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,4,0,1,7,0,0,0,1,3,0,4,0,19,0,1,0,0,0
2022-07-17T08,104,0,0,1,0,13,1,0,0,0,0,0,1,1,0,0,3,1,0,17,0,0,0,0,3,5,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,1,1,0,0,2,0,0,0,3,0,1,1,0,1,0,0,0,1,4,0,1,5,0,0,0,0,4,1,3,0,22,0,1,0,0,0
2022-07-17T09,140,0,0,3,0,2,1,0,0,0,0,0,1,1,0,0,10,0,0,19,0,0,1,0,2,7,5,0,0,0,0,4,0,0,0,2,0,0,5,1,1,4,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,4,1,1,6,0,0,0,0,6,1,6,0,35,0,3,0,0,0
