bucket,total,--,AR,AT,AU,BD,BE,BO,BR,BY,CA,CH,CL,CN,CO,DE,DK,DZ,EC,EG,ES,FI,FR,GB,GR,HK,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KZ,LV,MK,MO,MX,MY,NL,NZ,PH,PL,PT,RO,RU,RW,SE,SG,SI,SN,TH,TR,TW,TZ,UA,US,UY,VN,ZA
2022-07-31T00,97,2,4,0,0,0,0,0,4,0,4,0,0,5,0,9,0,0,0,0,2,0,9,5,0,5,0,0,0,0,0,0,3,0,0,2,0,0,0,0,1,1,2,0,0,1,1,0,2,0,2,9,0,0,1,0,1,0,0,22,0,0,0
2022-07-31T01,102,1,2,0,1,0,0,0,1,0,9,0,0,5,0,5,0,0,0,0,2,0,0,2,0,2,0,0,0,0,1,0,2,1,0,4,1,1,0,0,0,8,3,2,0,0,0,0,2,0,2,9,0,0,1,1,1,0,0,32,0,1,0
2022-07-31T02,95,2,0,0,1,0,0,0,0,0,6,0,0,8,0,4,0,0,0,0,2,0,0,2,0,1,0,0,0,0,1,0,1,1,0,3,1,1,0,0,0,1,3,0,0,0,0,0,3,0,2,6,0,1,0,1,0,0,0,44,0,0,0
2022-07-31T03,123,1,1,0,2,0,0,0,0,1,7,1,0,8,0,5,0,0,0,0,1,0,4,6,0,0,0,1,0,0,3,0,1,1,0,1,0,0,0,0,0,1,3,0,0,1,1,0,2,0,2,8,0,1,2,0,2,0,0,55,1,0,0
2022-07-31T04,100,2,0,0,0,0,0,0,1,0,6,1,0,18,0,6,0,0,0,0,1,0,7,2,0,0,0,1,0,0,1,0,1,0,0,4,0,0,0,0,0,1,4,0,0,0,1,0,2,0,2,8,0,0,1,0,0,0,0,28,1,0,1
2022-07-31T05,114,3,0,0,3,0,0,0,0,0,4,0,2,19,1,5,0,0,0,0,1,0,6,6,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,2,0,0,0,0,0,1,0,2,8,0,0,0,1,2,0,0,40,0,1,0
2022-07-31T06,109,2,0,0,3,0,0,0,1,0,2,0,1,18,2,4,0,0,0,0,1,0,3,4,0,4,1,2,0,1,1,0,1,0,1,0,0,0,0,0,1,1,5,0,0,0,0,1,3,0,2,6,0,0,0,0,7,0,1,28,1,1,0
2022-07-31T07,126,1,0,0,2,0,0,0,0,0,2,0,0,16,0,10,0,0,0,0,1,0,0,5,0,4,0,3,12,1,1,0,2,2,0,1,0,0,0,0,1,1,5,0,1,0,0,0,3,0,2,7,0,0,3,0,1,0,0,38,1,0,0
2022-07-31T08,117,2,0,1,1,0,1,0,0,0,1,0,0,20,0,16,0,0,0,0,1,0,1,3,0,4,0,0,0,0,3,0,2,1,0,1,0,0,0,0,1,1,3,2,1,0,0,0,2,1,3,7,0,0,2,0,3,0,0,33,0,0,0
2022-07-31T09,160,2,0,0,2,0,1,0,0,0,2,1,0,20,1,21,0,0,0,1,1,0,4,7,0,4,0,2,12,0,2,1,4,0,0,3,0,0,1,0,0,1,8,2,1,0,1,0,5,0,2,12,0,0,3,0,1,0,0,32,0,0,0
2022-07-31T10,150,1,0,0,0,0,1,0,0,0,2,1,0,7,0,31,0,0,0,0,1,0,3,5,0,4,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,13,1,2,0,1,1,2,0,2,8,0,0,10,0,2,0,0,47,0,0,0
2022-07-31T11,139,1,0,1,0,0,2,0,0,0,2,0,0,7,0,15,0,0,0,0,2,0,8,5,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,1,1,0,1,1,0,2,6,0,0,8,0,2,0,0,59,0,0,0
2022-07-31T12,120,1,0,1,1,0,1,0,1,0,1,0,0,8,0,16,1,0,0,0,3,1,7,2,0,5,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,1,8,1,0,0,0,1,3,0,3,6,0,0,7,0,4,0,0,30,0,1,0
2022-07-31T13,134,2,1,0,0,0,0,1,0,0,1,1,0,5,1,18,1,0,0,0,1,0,7,7,0,25,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,1,6,0,2,1,1,1,3,0,2,6,0,0,4,0,5,0,0,23,0,0,0
2022-07-31T14,176,2,1,1,0,0,1,1,2,0,6,1,0,12,1,33,3,0,0,0,2,0,9,7,0,17,1,1,0,0,3,0,9,0,0,1,0,0,0,1,0,1,10,0,1,2,1,1,4,0,2,6,0,0,7,0,6,1,0,18,1,0,0
2022-07-31T15,187,3,2,2,1,0,0,0,0,0,8,1,0,7,0,33,1,1,0,0,1,0,8,14,0,6,2,1,4,0,0,0,15,0,0,1,0,0,1,0,0,1,12,0,0,1,1,0,5,1,2,7,0,0,3,0,6,0,0,36,0,0,0
2022-07-31T16,167,1,0,1,0,1,1,0,0,0,11,1,0,14,0,24,0,0,0,0,1,0,2,10,1,4,0,0,0,0,0,0,10,0,0,1,0,0,1,0,0,1,8,0,0,2,1,0,5,0,2,5,1,0,4,1,1,0,0,52,0,0,0
2022-07-31T17,184,1,0,0,0,0,1,1,2,0,8,2,0,15,0,28,0,0,1,0,2,0,6,8,2,1,0,0,0,0,2,0,12,0,0,2,0,0,1,0,0,1,12,0,0,0,1,1,6,0,6,8,1,0,6,1,2,0,0,43,0,1,0
2022-07-31T18,108,1,0,0,0,0,1,1,0,0,5,2,0,9,0,12,0,0,0,0,4,0,2,8,0,0,1,0,0,0,2,0,5,2,0,1,0,0,0,0,0,0,14,0,0,0,0,2,4,0,2,6,1,0,4,1,0,0,0,17,0,1,0
