bucket,total,--,AE,AR,AT,AU,AZ,BA,BB,BE,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,EG,ES,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KH,KR,KZ,LA,LT,LU,LV,MK,MO,MQ,MT,MX,MY,MZ,NL,NO,NZ,PE,PH,PK,PL,PT,PY,QA,RO,RU,RW,SD,SE,SG,SK,SY,TH,TN,TR,TW,TZ,UA,US,UY,VE,VN,ZA
2022-05-15T00,119,2,0,1,0,0,0,0,1,0,0,2,0,9,0,1,7,0,0,0,5,0,0,2,0,2,12,0,0,0,0,0,1,0,0,4,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,2,1,0,0,1,6,0,0,1,0,0,5,0,0,37,0,0,1,0
2022-05-15T01,130,2,0,0,0,0,0,0,0,0,0,2,0,11,0,1,5,0,0,0,2,0,0,1,0,4,13,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,3,0,0,2,7,0,0,1,0,0,4,0,1,57,0,0,2,0
2022-05-15T02,119,3,0,0,0,4,0,0,0,0,0,0,0,12,0,0,7,0,0,0,2,0,0,1,0,15,2,0,0,2,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,7,0,0,2,0,0,5,0,0,41,0,0,2,0
2022-05-15T03,122,3,0,0,0,2,0,0,0,0,0,2,0,7,0,0,10,0,0,0,4,0,0,1,0,7,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,3,0,0,59,1,0,1,0
2022-05-15T04,93,1,0,1,0,1,0,0,0,0,0,3,0,8,0,0,4,0,0,0,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,14,0,0,3,0,0,5,0,0,37,0,0,0,0
2022-05-15T05,136,1,0,1,0,3,0,0,0,0,0,1,0,11,0,0,20,0,0,0,5,0,0,1,0,2,2,0,0,2,0,0,0,0,0,2,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,3,0,0,0,0,0,0,2,0,0,1,10,0,0,0,0,0,2,0,1,52,0,0,1,0
2022-05-15T06,146,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,19,0,0,0,8,0,0,1,0,4,10,0,0,1,0,0,3,0,0,2,0,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,2,0,0,0,0,0,0,2,0,0,1,6,0,0,3,0,0,10,0,0,46,0,0,6,0
2022-05-15T07,149,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,18,0,0,0,18,0,0,1,0,11,2,0,0,5,0,0,3,0,0,0,0,1,8,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,0,2,0,0,0,0,0,0,5,1,0,1,8,0,0,1,0,1,13,0,0,30,0,1,5,0
2022-05-15T08,187,5,0,1,0,1,0,0,0,2,0,0,0,1,0,0,28,0,0,0,21,0,0,1,1,10,1,0,0,4,0,1,0,0,0,4,0,4,6,0,5,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,2,0,0,0,0,0,0,2,0,0,1,7,0,1,3,0,1,11,0,1,52,0,0,3,0
2022-05-15T09,213,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,19,0,0,6,0,21,2,0,0,8,0,1,0,2,0,0,1,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,0,2,0,0,0,0,0,0,2,0,0,1,5,0,0,5,0,2,9,0,0,72,0,0,1,0
2022-05-15T10,183,2,0,0,1,2,0,0,0,0,0,0,0,1,0,0,41,0,0,0,20,0,0,6,0,4,4,0,0,5,0,0,1,0,0,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,2,0,0,0,0,0,1,2,0,0,3,5,0,0,8,0,0,6,0,0,50,0,0,0,0
