bucket,total,--,AD,AE,AL,AR,AT,AU,AZ,BA,BB,BD,BE,BG,BO,BR,BW,BY,CA,CH,CL,CM,CN,CO,CR,CU,CV,CZ,DE,DK,DO,DZ,EC,EG,ES,ET,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KG,KH,KR,KW,KZ,LA,LK,LT,LU,MA,MD,ME,MK,MM,MN,MO,MX,MY,MZ,NA,NG,NI,NL,NO,NP,NZ,OM,PE,PG,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SA,SD,SE,SG,SK,SN,SY,TH,TN,TR,TW,UA,UG,US,UY,UZ,VN,ZA
2022-08-07T00,109,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,2,1,0,0,0,0,7,0,0,0,0,0,1,0,0,2,4,0,0,0,0,0,1,0,0,1,0,5,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,1,0,0,54,0,0,0,1
2022-08-07T01,122,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,8,1,0,0,0,0,4,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,6,0,0,68,0,0,0,0
2022-08-07T02,90,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,0,2,0,0,0,0,0,7,1,0,0,0,1,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,5,0,0,0,3,0,0,4,0,0,28,0,0,1,0
2022-08-07T03,89,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,3,0,0,3,0,0,1,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,2,0,0,0,1,8,1,0,0,1,0,0,3,0,0,36,0,0,1,0
2022-08-07T04,140,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,8,1,0,0,0,0,4,0,0,0,0,0,1,0,0,1,5,0,0,2,0,0,0,7,0,2,0,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,7,0,0,0,2,0,0,3,0,0,72,0,0,1,0
2022-08-07T05,105,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,3,0,1,0,2,1,0,0,0,0,3,0,0,1,0,0,1,0,1,1,5,0,0,2,0,0,0,10,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,1,0,0,3,0,0,47,0,0,0,0
2022-08-07T06,71,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,5,0,0,0,4,0,1,5,1,0,22,0,0,0,0
2022-08-07T07,74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,9,1,0,0,0,0,3,0,0,1,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,2,0,0,2,0,0,26,0,0,0,1
2022-08-07T08,72,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,1,0,0,3,2,0,0,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,1,0,0,24,0,0,1,0
2022-08-07T09,111,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,16,0,0,0,0,0,1,0,0,6,4,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,8,0,0,0,3,0,0,3,0,0,32,0,0,1,1
2022-08-07T10,129,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,8,0,0,0,0,0,16,1,0,0,0,0,2,0,1,6,6,2,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,1,0,0,2,6,0,0,0,6,0,0,1,0,0,43,0,0,1,1
2022-08-07T11,124,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1,19,0,0,0,0,0,3,0,1,3,5,0,0,2,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,3,8,0,0,0,4,0,2,4,1,0,37,0,0,1,1
2022-08-07T12,150,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,12,0,0,0,0,0,3,0,1,1,13,0,0,3,0,0,1,0,0,0,0,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,13,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,4,0,2,3,0,0,55,0,0,2,0
2022-08-07T13,149,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,7,1,0,0,0,0,10,0,0,0,0,0,3,0,2,5,6,0,0,11,1,0,2,0,0,3,0,12,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,1,1,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,3,9,0,0,0,2,0,1,6,0,0,30,0,0,3,0
2022-08-07T14,163,1,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,3,1,0,0,9,0,0,0,0,0,15,1,0,0,0,0,3,0,0,7,9,0,0,11,0,0,0,0,0,3,0,13,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,8,0,0,0,9,0,1,4,0,0,33,0,0,2,1
2022-08-07T15,193,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,10,0,0,0,0,0,18,3,0,1,0,0,5,0,2,8,9,0,0,5,0,0,0,0,0,0,0,14,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,0,4,6,0,0,0,5,0,1,6,0,0,73,0,0,0,0
2022-08-07T16,182,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2,3,0,0,3,0,0,0,0,0,26,1,0,1,0,0,6,0,1,8,12,0,0,6,0,1,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,6,0,0,0,2,0,2,1,0,0,63,0,0,0,0
2022-08-07T17,152,0,0,0,0,2,0,0,0,0,0,1,3,0,0,1,0,0,1,2,2,0,1,0,0,0,0,0,34,0,0,0,0,0,7,0,1,8,7,1,0,1,0,1,0,1,0,1,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,9,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,6,0,0,0,1,0,0,0,0,0,32,0,0,0,0
2022-08-07T18,170,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,8,1,0,1,1,0,0,0,0,0,35,0,0,0,0,0,8,0,0,5,9,1,0,2,0,1,1,1,1,0,1,10,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,1,0,0,4,6,0,0,0,3,0,3,0,0,1,34,0,0,0,0
2022-08-07T19,185,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,6,2,0,0,3,0,0,0,0,0,39,0,0,0,0,0,8,0,0,7,10,0,0,1,0,1,1,0,0,1,0,12,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,13,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,5,6,0,0,0,6,0,0,0,0,0,47,0,0,0,0
2022-08-07T20,147,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,1,5,4,0,0,3,0,0,0,0,0,24,1,0,1,0,0,2,0,0,7,11,0,0,2,0,0,0,0,0,1,0,17,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,7,0,0,0,3,0,0,0,0,0,26,0,0,3,0
2022-08-07T21,143,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,7,2,0,0,2,0,0,0,0,0,13,0,0,0,0,0,7,0,0,8,9,1,0,1,0,1,0,1,0,0,0,17,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,2,0,1,0,2,0,0,0,3,6,0,0,0,5,0,0,0,1,0,31,0,0,3,0
2022-08-07T22,121,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,2,0,1,0,11,2,0,0,0,1,10,0,0,0,0,0,2,0,0,5,11,0,0,1,0,0,1,2,0,0,0,8,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,7,0,0,0,1,0,0,1,1,0,30,0,0,2,0
2022-08-07T23,104,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,4,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,2,0,1,1,5,0,0,0,0,0,1,1,0,2,0,6,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,39,0,0,0,0
2022-08-08T00,113,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,0,0,0,10,1,0,0,0,0,4,0,0,1,0,0,3,0,0,1,3,0,0,0,0,0,1,2,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,59,0,0,0,0
2022-08-08T01,133,1,0,0,0,2,0,1,0,0,1,0,0,0,0,3,0,0,9,0,0,0,15,1,0,0,0,0,6,0,0,0,0,0,2,0,0,5,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,0,0,71,0,0,0,0
2022-08-08T02,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,9,0,0,0,0,0,0,1,0,0,28,0,0,2,0
2022-08-08T03,102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,0,0,0,19,0,0,0,0,0,5,0,0,0,0,1,1,0,0,4,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,2,1,0,41,0,0,0,0
2022-08-08T04,71,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,4,0,0,0,0,1,1,0,0,3,3,1,0,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,26,0,0,1,0
2022-08-08T05,74,1,0,0,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,4,1,0,0,0,0,1,0,0,1,3,0,0,0,0,0,2,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,1,1,0,24,0,1,0,0
2022-08-08T06,73,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,4,1,0,0,0,0,10,0,0,0,0,0,1,0,0,1,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,8,0,0,0,0,0,0,4,0,0,23,0,1,0,0
2022-08-08T07,58,3,0,0,0,3,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,7,0,0,0,0,0,1,0,0,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,1,0,0,0,0,0,14,0,0,0,0
2022-08-08T08,71,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,1,0,0,1,0,0,5,3,0,0,1,0,0,0,0,0,1,0,2,2,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,7,0,0,0,1,0,0,0,0,0,19,0,0,0,1
2022-08-08T09,85,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,1,0,1,0,2,5,3,0,0,0,0,0,0,0,0,1,0,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,1,9,0,0,0,3,0,0,2,1,0,26,0,0,0,0
2022-08-08T10,92,1,0,0,0,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,7,0,0,0,0,0,1,0,0,2,4,1,0,1,0,0,0,0,0,1,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,7,0,0,0,1,0,0,1,2,0,32,0,0,0,0
2022-08-08T11,107,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,3,0,0,3,4,0,0,4,0,0,0,0,0,3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,1,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,13,0,0,0,5,0,1,5,0,0,21,0,0,1,0
2022-08-08T12,106,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,14,0,0,0,0,0,7,0,0,0,0,0,1,0,0,3,3,0,0,6,0,0,1,1,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,2,7,0,0,0,8,0,1,7,1,0,20,0,0,1,0
2022-08-08T13,102,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,2,0,0,3,3,0,0,3,0,0,3,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7,0,0,0,5,0,0,13,0,0,21,0,0,1,0
2022-08-08T14,134,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,17,1,1,0,0,0,2,0,1,7,4,0,0,5,0,0,2,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,1,6,0,0,0,12,0,0,8,0,0,30,0,0,1,1
2022-08-08T15,126,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0,13,3,0,0,0,0,2,0,1,4,8,0,0,5,0,0,1,0,0,0,0,14,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,2,0,0,0,1,6,0,0,0,9,0,0,4,0,0,24,0,0,1,0
2022-08-08T16,159,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,32,3,0,0,0,0,4,0,0,5,10,0,0,4,0,0,1,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,3,5,0,0,0,11,0,0,3,2,0,27,0,0,0,0
2022-08-08T17,183,2,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,5,2,0,0,1,0,0,0,0,0,38,1,0,0,0,0,5,0,0,5,11,0,0,3,0,0,0,1,0,1,0,13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,18,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,8,0,0,0,7,0,1,2,1,0,38,0,0,1,0
2022-08-08T18,211,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,14,2,0,0,2,1,0,0,0,0,45,1,0,0,0,0,4,0,0,14,21,0,0,1,0,0,0,1,2,0,0,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,25,1,0,1,0,0,0,1,0,2,0,0,1,0,0,0,2,0,0,0,3,6,0,0,0,1,0,1,2,1,0,37,0,0,1,1
2022-08-08T19,187,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,12,2,0,0,0,1,0,0,0,0,40,1,0,0,0,0,5,0,0,7,9,0,0,0,0,1,0,0,1,1,0,13,1,0,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,22,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,3,6,0,0,0,3,0,0,1,3,0,35,0,0,2,0
2022-08-08T20,163,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,1,0,0,3,0,0,0,0,0,32,0,0,0,0,0,2,0,1,12,10,0,0,1,0,0,0,0,1,0,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,17,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,3,0,0,1,0,0,37,0,0,1,0
2022-08-08T21,141,3,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,21,0,0,0,0,0,2,0,0,6,11,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,6,0,0,0,4,0,0,1,0,0,46,0,0,1,0
2022-08-08T22,117,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,5,1,0,0,1,0,0,0,0,0,12,0,1,0,0,0,2,0,0,5,4,0,0,1,0,0,1,0,1,1,0,9,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,8,0,0,0,1,0,0,2,0,0,37,0,0,2,0
2022-08-08T23,137,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,9,1,0,0,3,1,0,0,0,0,6,2,0,0,0,0,2,0,0,4,3,0,0,2,0,0,3,0,1,2,0,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,9,0,0,0,0,0,1,3,1,0,50,0,0,1,0
