bucket,total,--,AE,AR,AT,AU,BD,BE,BG,BH,BN,BR,BY,CA,CH,CL,CN,CO,CV,DE,DK,DO,DZ,EC,EE,EG,ES,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JE,JO,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MA,ME,MK,MM,MO,MU,MX,MY,MZ,NG,NL,NO,NP,NZ,PE,PH,PK,PL,PR,PS,PT,PY,RO,RS,RU,RW,SE,SG,SK,TH,TR,TW,UA,US,VE,VN,ZA
2022-11-06T00,134,1,0,0,0,3,0,0,0,0,0,3,0,5,0,3,4,0,0,11,1,0,0,0,0,0,3,0,4,9,0,0,0,0,0,0,1,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,0,0,2,0,58,0,0,0
2022-11-06T01,118,2,0,0,0,2,0,0,0,0,0,2,0,6,1,0,8,0,0,13,1,0,0,0,0,0,4,0,2,4,1,0,0,0,0,2,0,0,1,0,4,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,8,0,0,0,1,0,42,0,0,0
2022-11-06T02,92,4,0,0,0,1,0,0,0,0,0,2,0,5,0,2,6,0,0,10,1,0,0,0,0,0,3,0,0,5,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,7,0,0,0,1,0,30,0,0,0
2022-11-06T03,119,4,0,0,0,2,0,0,0,0,0,0,0,6,0,3,5,0,0,7,1,0,0,0,0,0,1,0,13,4,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,0,0,0,2,0,56,0,0,0
2022-11-06T04,95,2,0,1,0,0,0,0,0,0,0,1,0,3,0,0,6,0,0,8,1,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,7,0,2,0,1,0,41,0,0,0
2022-11-06T05,97,2,0,1,0,0,0,0,0,0,0,1,0,6,0,0,7,0,0,9,1,0,0,0,0,1,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0,5,0,1,0,0,0,34,0,0,0
2022-11-06T06,105,2,0,0,0,14,0,0,0,0,0,0,0,3,0,0,8,0,0,7,1,0,0,0,0,0,1,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,3,1,0,5,0,0,0,3,1,41,0,0,0
2022-11-06T07,92,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,7,0,0,14,1,0,0,0,0,0,1,0,2,2,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,5,0,3,0,3,0,41,0,0,0
2022-11-06T08,80,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,18,1,0,0,0,0,0,2,0,2,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,6,0,1,0,3,0,17,0,1,0
2022-11-06T09,111,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,27,1,0,0,0,0,0,2,0,7,5,0,0,3,0,0,1,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,6,0,4,0,2,0,26,0,0,0
2022-11-06T10,124,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,33,1,0,0,0,0,0,3,1,4,7,0,0,2,0,0,0,0,0,1,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,1,7,0,2,0,3,1,24,0,2,0
2022-11-06T11,201,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,31,1,0,0,0,0,0,4,1,5,4,0,0,5,0,0,0,0,0,5,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,2,8,0,5,0,3,0,91,0,0,0
2022-11-06T12,167,3,0,4,1,0,0,0,0,0,0,0,0,0,1,0,6,0,0,27,1,0,0,1,0,0,3,4,3,6,0,0,2,0,0,1,0,0,7,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,1,0,1,0,0,1,0,0,0,6,0,3,8,0,5,0,4,0,49,0,0,1
2022-11-06T13,156,4,0,1,1,0,0,0,0,0,0,0,0,1,1,0,9,0,0,24,1,0,1,1,0,0,3,1,2,9,0,0,3,0,0,0,0,0,2,0,5,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,1,0,1,0,4,0,1,7,0,8,1,3,0,40,0,0,0
2022-11-06T14,182,2,0,0,1,0,0,1,0,0,0,4,0,6,3,0,7,0,0,37,1,0,0,0,0,0,2,0,12,10,0,0,2,0,0,0,0,0,0,0,11,0,0,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,11,0,0,0,0,2,0,1,0,0,1,0,2,0,2,0,1,6,0,7,2,5,0,33,0,0,0
2022-11-06T15,173,3,0,0,2,0,0,1,0,0,0,2,0,7,0,1,4,0,0,32,1,0,0,0,0,0,5,2,9,12,0,0,3,0,0,0,0,0,6,0,9,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,0,0,0,0,2,0,0,1,0,0,0,6,0,2,5,0,7,1,1,0,31,0,0,0
2022-11-06T16,210,3,0,0,2,0,0,0,0,0,0,0,0,5,0,1,6,0,0,45,1,0,0,0,0,0,6,1,15,12,0,0,2,0,0,0,0,0,2,0,24,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,3,5,0,6,1,2,1,41,0,0,0
2022-11-06T17,240,3,0,0,2,0,0,3,0,0,0,0,0,4,1,2,2,0,0,48,1,0,0,0,0,0,5,0,21,21,0,0,3,0,0,0,1,0,0,0,23,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0,2,0,0,0,5,0,2,6,0,6,5,0,0,56,0,0,0
2022-11-06T18,200,3,0,0,0,0,0,2,0,0,0,1,0,5,3,0,4,0,0,55,3,0,0,0,0,0,11,0,6,13,0,0,3,0,0,0,1,0,1,0,15,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,2,0,0,2,0,1,0,1,0,3,6,0,5,2,1,0,30,0,0,0
2022-11-06T19,202,2,0,0,0,0,0,2,0,0,0,2,0,6,3,0,8,0,0,45,1,0,0,0,0,0,6,1,13,12,0,0,1,0,0,0,1,0,5,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,1,0,1,4,0,3,1,3,0,4,8,0,1,0,1,0,35,0,1,1
2022-11-06T20,220,2,0,2,0,0,0,2,0,0,0,1,0,18,4,0,5,0,0,38,2,0,0,0,0,0,6,1,8,11,0,0,1,0,0,0,1,0,0,0,17,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,2,0,4,0,3,0,3,8,0,1,2,0,1,53,0,0,0
2022-11-06T21,192,2,0,0,1,2,0,2,0,0,0,1,0,12,2,0,4,0,0,33,1,0,0,0,0,0,2,1,6,15,0,0,2,0,0,0,1,0,0,0,21,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,2,5,0,1,0,0,1,44,0,0,0
2022-11-06T22,160,4,0,1,1,0,0,0,0,0,0,1,0,9,0,0,6,0,0,26,1,0,0,0,0,0,2,0,3,8,0,0,1,0,0,0,1,0,2,0,22,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,0,0,0,1,0,0,2,0,0,0,4,0,1,5,0,0,0,0,0,38,0,1,0
2022-11-06T23,128,3,0,0,0,11,0,0,0,0,0,0,0,7,1,0,4,0,0,12,1,0,0,0,0,0,2,0,4,8,0,0,1,0,0,0,0,0,2,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,0,1,0,1,0,0,2,0,1,0,3,0,2,6,0,1,0,0,0,30,1,0,0
2022-11-07T00,98,2,0,0,0,5,0,0,0,0,0,0,0,10,1,0,5,0,0,7,2,0,0,0,0,0,2,0,2,8,0,0,1,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,5,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,6,0,0,0,1,0,29,0,0,0
2022-11-07T01,101,3,0,0,0,1,0,0,0,1,0,0,0,14,0,0,6,0,0,4,1,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,1,7,1,1,0,2,0,38,0,0,0
