bucket,total,--,AR,AT,AU,AZ,BE,BR,BY,CA,CH,CL,CM,CN,CO,CV,CZ,DE,DK,EG,ES,FR,GB,HK,ID,IN,IR,IT,JO,JP,KR,KZ,LA,LU,LV,MA,MC,MX,MY,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RU,SD,SE,SG,SK,TH,TR,TW,UA,US,UY,UZ,VE,VN,ZA
2022-11-27T00,153,5,0,0,0,1,0,4,0,6,0,1,0,4,0,0,1,12,0,0,1,1,5,0,0,13,0,10,0,2,2,0,0,0,0,0,0,1,2,8,0,0,1,1,0,0,0,1,1,0,2,5,0,1,0,1,0,57,1,1,0,2,0
2022-11-27T01,107,3,1,0,1,1,1,3,0,13,0,0,0,4,0,0,0,5,0,0,1,2,4,1,1,0,0,4,0,0,3,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,1,1,1,0,3,5,0,3,0,1,1,33,0,1,0,0,0
2022-11-27T02,89,3,0,0,2,0,0,2,0,18,0,1,0,3,0,0,0,3,0,0,1,1,0,2,1,0,1,0,0,1,2,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,2,5,1,2,0,2,0,29,0,0,0,1,0
2022-11-27T03,111,5,1,0,2,0,0,1,0,15,0,0,0,1,0,0,0,3,0,1,1,2,4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,2,2,3,0,0,0,2,0,0,0,1,3,1,1,8,0,3,0,3,0,40,0,0,1,1,0
2022-11-27T04,101,4,0,0,1,0,0,3,0,5,0,0,0,13,0,0,0,2,0,0,1,1,1,6,0,2,0,0,0,2,2,0,0,0,0,1,0,0,1,3,0,1,0,2,1,0,0,0,0,0,1,8,0,3,0,1,0,34,0,0,1,1,0
2022-11-27T05,64,2,0,0,1,0,0,0,0,5,0,0,0,3,0,0,0,2,1,0,1,1,3,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0,2,3,0,1,0,1,0,0,0,0,0,0,1,5,0,4,0,1,0,18,0,0,0,2,0
2022-11-27T06,87,4,0,0,1,0,0,0,0,4,0,0,0,5,0,1,0,4,0,0,1,2,1,4,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,1,0,0,0,3,0,0,0,1,3,0,1,7,0,4,1,5,0,28,0,0,0,0,0
2022-11-27T07,117,4,0,0,0,0,0,1,1,2,0,0,1,11,1,0,0,15,0,1,1,3,1,0,1,1,0,1,1,4,2,0,0,0,0,0,0,0,3,1,0,0,0,2,0,0,0,1,3,0,1,8,0,4,0,0,0,40,0,0,0,1,1
2022-11-27T08,115,2,0,0,0,0,0,0,1,2,0,0,0,3,1,0,0,21,0,0,1,0,3,4,0,1,0,2,0,0,2,0,0,0,0,0,0,0,3,1,0,1,0,1,1,1,0,0,3,0,1,6,0,3,0,1,0,48,0,0,0,1,1
2022-11-27T09,104,2,1,0,1,0,1,1,0,1,1,0,0,9,0,0,0,14,0,0,1,7,1,3,0,0,0,4,0,1,2,0,0,0,0,0,0,0,4,3,1,0,0,2,0,1,0,0,1,0,3,8,0,4,1,2,0,22,0,0,0,2,0
2022-11-27T10,115,3,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,27,1,0,6,7,1,6,0,0,0,8,0,3,1,0,0,0,0,0,0,0,1,4,1,0,0,3,0,0,0,1,1,0,2,5,0,2,1,3,0,22,0,0,0,1,0
2022-11-27T11,114,2,0,1,0,0,0,2,0,2,0,0,0,3,0,0,0,26,0,0,1,8,5,3,0,1,0,8,0,0,1,0,1,0,0,0,1,0,0,4,1,0,0,4,0,1,0,2,0,0,2,5,0,3,0,4,0,22,0,0,0,0,1
2022-11-27T12,69,3,0,0,0,0,1,2,0,0,2,0,0,2,1,0,0,15,0,0,1,5,2,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,0,1,6,0,1,0,0,0,14,0,0,0,0,0
