bucket,total,--,AE,AR,AT,AU,AW,BA,BD,BE,BG,BO,BR,BS,BY,CA,CH,CL,CN,CO,CR,CV,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GE,GH,GR,GT,HK,HN,HR,HU,ID,IE,IL,IN,IR,IT,JO,JP,KE,KH,KR,KZ,LT,LV,LY,MA,MD,MK,MM,MN,MO,MU,MX,MY,MZ,NC,NG,NL,NO,NZ,OM,PA,PE,PH,PK,PL,PR,PT,PY,QA,RO,RU,RW,SE,SG,SK,SY,TH,TN,TR,TT,TW,TZ,UA,US,UY,UZ,VN,ZA,ZM
2022-07-03T00,84,2,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,1,2,0,0,0,0,0,12,0,0,0,0,0,1,0,1,4,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,0,0,0,1,0,2,0,0,27,0,0,0,0,0
2022-07-03T01,84,2,0,0,0,1,1,0,0,0,0,0,2,0,0,4,0,1,5,0,0,0,0,0,5,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,3,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,3,0,0,28,0,0,2,0,0
2022-07-03T02,91,2,0,0,0,1,0,0,0,0,0,1,3,0,0,7,0,0,3,0,0,0,0,0,5,0,0,0,0,0,2,0,0,5,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,6,0,0,0,0,0,0,2,0,0,28,0,0,0,0,0
2022-07-03T03,92,1,0,1,1,2,0,0,0,0,0,1,2,0,0,6,0,0,5,0,1,0,0,0,3,0,0,0,0,0,2,0,1,2,0,1,0,0,4,0,0,0,0,0,0,1,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,6,0,0,1,0,2,0,6,0,0,24,0,0,1,0,0
2022-07-03T04,84,2,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0,6,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,7,1,0,1,0,0,0,2,0,0,33,0,0,0,0,0
2022-07-03T05,85,1,0,1,0,4,0,0,0,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,4,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,7,1,0,0,0,0,0,7,0,0,30,0,0,0,0,0
2022-07-03T06,98,1,0,1,0,4,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,7,0,1,0,0,0,0,0,3,2,0,0,0,0,7,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0,4,1,0,5,0,0,1,0,0,0,6,0,0,26,0,0,2,0,0
2022-07-03T07,103,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7,0,0,0,0,0,8,0,0,0,0,0,1,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,3,0,0,5,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,4,0,1,0,0,0,6,0,0,0,1,0,0,0,7,0,0,6,0,0,1,0,1,0,13,0,0,20,0,0,1,0,0
2022-07-03T08,104,1,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,5,1,0,0,0,0,13,1,0,0,0,0,1,0,6,4,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,2,0,0,0,2,0,1,0,0,0,0,0,4,1,1,6,0,0,3,0,0,0,14,0,0,18,0,0,0,0,0
2022-07-03T09,124,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,6,0,1,0,0,0,15,0,0,0,0,0,4,0,5,6,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,4,0,0,4,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,0,2,0,0,0,8,0,0,0,0,0,0,0,5,0,0,8,0,0,3,0,1,0,10,0,0,20,0,0,1,0,0
2022-07-03T10,110,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,8,0,1,0,0,0,20,0,0,0,0,0,1,2,4,8,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,6,0,0,0,0,0,0,1,3,0,1,6,0,0,3,0,1,0,7,0,1,16,0,0,0,0,0
2022-07-03T11,110,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,7,0,0,0,0,0,17,1,0,0,0,0,0,0,4,7,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,3,0,1,0,0,0,0,0,5,0,1,7,0,0,3,0,0,0,6,0,0,25,0,0,0,0,0
2022-07-03T12,141,1,0,0,2,0,0,0,0,0,0,0,1,0,0,4,0,0,6,0,0,0,0,0,20,1,0,0,0,0,1,0,4,9,0,0,0,0,6,0,0,0,1,0,0,0,0,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,12,0,0,0,0,0,2,0,1,0,1,0,0,0,5,0,1,6,0,0,2,0,0,0,15,0,0,27,0,0,0,0,1
2022-07-03T13,161,1,0,0,3,0,0,0,0,2,0,0,0,0,0,1,2,0,7,0,0,0,0,0,18,0,0,0,0,0,2,2,9,12,0,0,0,0,7,0,0,0,0,0,0,1,0,9,0,2,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,0,1,0,1,0,1,0,0,0,4,0,1,11,0,0,7,0,1,0,8,0,0,24,0,0,1,0,2
2022-07-03T14,172,2,0,1,0,0,0,0,0,4,0,0,1,0,0,2,2,2,4,1,0,0,0,0,26,1,0,0,0,0,2,1,7,10,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,2,0,1,0,0,0,5,0,1,8,0,0,3,0,1,0,7,0,0,43,1,0,2,0,0
2022-07-03T15,165,1,1,1,1,1,0,0,0,2,0,0,1,0,0,2,1,0,7,0,0,0,0,0,20,1,0,0,0,0,4,0,7,14,0,0,0,0,13,0,0,0,0,0,0,1,0,9,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,2,0,0,0,2,0,0,0,6,0,1,10,0,0,2,0,2,0,8,0,1,28,2,0,1,0,0
2022-07-03T16,167,2,0,1,3,1,0,0,0,0,0,0,2,0,0,5,1,0,5,0,1,0,0,0,24,1,0,0,0,0,8,0,10,14,0,0,0,0,4,0,0,0,0,0,0,0,0,13,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0,0,3,1,2,8,0,0,3,0,2,0,10,0,1,27,0,0,0,0,0
2022-07-03T17,173,2,0,0,2,0,0,0,0,1,0,0,1,0,0,4,1,0,3,0,0,0,0,0,32,1,0,0,0,0,7,0,8,15,0,0,0,0,0,0,0,0,1,1,0,1,0,13,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,1,1,1,0,1,0,0,1,5,0,4,6,0,0,4,0,1,1,11,0,0,30,0,0,0,0,0
2022-07-03T18,151,1,0,1,1,0,0,0,0,3,0,0,0,0,0,2,1,0,5,0,0,0,0,0,31,1,0,1,0,0,6,0,6,15,0,0,0,0,2,0,0,0,1,1,1,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,1,4,0,3,5,0,0,3,0,2,0,4,0,0,19,0,0,1,0,0
2022-07-03T19,174,2,0,0,1,0,0,0,1,4,0,0,2,0,0,4,2,0,7,0,0,0,0,0,34,0,0,0,0,0,5,0,6,14,0,0,0,0,2,0,0,0,1,0,1,0,0,12,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,1,0,1,0,1,0,0,0,4,1,1,6,0,0,2,0,2,0,3,0,1,29,0,0,0,0,0
2022-07-03T20,164,1,0,2,0,0,0,0,0,1,0,0,1,0,0,6,1,0,6,0,0,0,0,0,28,0,0,0,0,0,4,0,8,17,0,0,0,0,1,0,0,0,0,1,0,0,0,15,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,1,5,0,0,3,0,1,0,1,0,0,33,0,0,0,0,0
2022-07-03T21,139,1,0,2,0,0,0,0,0,0,0,0,1,0,0,5,3,0,10,0,1,0,0,0,18,0,0,0,0,0,2,0,3,10,0,0,0,0,1,0,0,0,0,0,0,1,0,12,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,2,0,0,0,6,0,2,6,0,0,1,0,1,0,5,0,0,29,0,0,0,0,0
2022-07-03T22,97,3,0,2,0,1,0,0,0,0,0,0,0,0,1,2,1,1,4,0,0,0,0,0,12,0,0,0,0,0,3,0,3,8,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,1,5,0,1,7,0,0,0,0,0,0,1,0,0,20,0,0,1,0,0
2022-07-03T23,100,3,0,0,0,0,0,0,0,0,0,0,1,0,1,12,1,0,6,0,0,0,0,0,7,0,0,0,0,0,1,0,3,7,0,0,0,0,0,0,0,0,2,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,5,0,0,7,0,0,3,0,0,0,1,0,1,26,0,0,1,0,0
2022-07-04T00,110,2,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,10,0,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,2,0,0,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,5,0,0,0,0,0,0,1,0,1,52,0,0,0,0,0
2022-07-04T01,90,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,6,0,0,0,0,0,0,3,0,0,27,0,0,2,0,0
2022-07-04T02,97,2,0,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,7,0,0,0,0,0,8,0,0,0,0,0,0,0,2,4,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,1,5,0,0,0,0,0,0,3,0,0,31,0,0,1,0,0
2022-07-04T03,84,1,0,0,0,1,0,0,0,0,0,0,3,0,0,8,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,7,0,0,2,0,0,0,2,0,0,27,0,0,1,0,0
2022-07-04T04,59,2,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,6,0,0,1,0,0,0,2,0,1,21,0,0,0,0,0
2022-07-04T05,69,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,6,0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,4,0,0,17,0,0,1,0,0
2022-07-04T06,108,1,0,1,0,1,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,5,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,1,0,0,0,0,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,7,0,0,1,0,0,0,9,0,0,47,0,0,0,0,0
2022-07-04T07,103,1,0,2,0,3,0,0,0,1,0,0,1,0,0,3,0,0,5,0,0,0,0,0,9,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,8,0,0,1,0,0,0,4,0,1,41,0,0,0,0,0
2022-07-04T08,98,1,0,1,0,2,0,0,0,0,0,0,3,0,0,2,0,0,5,1,0,0,0,0,14,0,0,0,0,0,2,1,5,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,3,6,0,0,2,0,0,0,7,0,0,18,0,0,0,0,0
