bucket,total,--,AR,AT,AU,BD,BE,BR,BY,CA,CH,CL,CN,CZ,DE,DK,ES,FI,FR,GB,GR,HK,HN,HU,ID,IE,IL,IN,IR,IT,JP,KR,KZ,LA,LT,LY,MD,MO,MT,MX,MY,NL,NO,NZ,PH,PL,PT,RO,RS,RU,RW,SE,SG,SK,TH,TR,TW,UA,US,VN,ZA
2021-11-14T00,133,3,3,2,2,0,0,3,0,8,0,1,8,0,19,0,2,0,2,11,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,12,0,1,0,0,0,1,0,1,0,1,9,1,2,0,0,1,32,0,0
2021-11-14T01,105,1,0,1,0,0,0,0,0,9,1,0,4,0,5,0,3,0,2,8,1,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0,1,0,7,1,1,1,0,0,0,0,2,0,1,15,0,2,0,0,0,33,0,0
2021-11-14T02,92,1,1,0,2,0,0,1,0,10,0,0,4,0,5,0,1,0,2,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,1,0,1,14,0,1,1,3,0,31,0,0
2021-11-14T03,94,2,0,0,1,0,0,0,0,11,0,0,2,0,2,0,1,0,2,5,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,1,1,4,0,2,2,0,0,0,0,1,0,0,14,0,2,1,3,1,31,0,0
2021-11-14T04,95,2,0,0,3,0,0,0,0,4,0,0,9,0,3,0,1,0,2,3,0,0,0,0,0,2,0,1,0,0,9,0,0,0,1,0,0,0,0,0,0,4,0,1,1,0,0,1,0,1,0,1,13,0,2,0,1,0,30,0,0
2021-11-14T05,76,0,1,0,1,0,0,0,0,5,0,0,5,0,2,0,1,0,2,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,0,0,10,0,4,0,3,0,22,5,0
2021-11-14T06,86,2,0,0,0,0,0,0,0,4,0,0,3,0,2,1,1,0,2,4,0,0,0,0,0,0,0,2,0,0,7,0,1,0,0,0,0,1,0,0,0,5,0,0,2,0,0,1,0,1,1,1,7,1,6,0,3,0,28,0,0
2021-11-14T07,88,1,1,0,0,0,1,0,0,1,1,0,10,0,7,0,2,1,2,4,0,2,0,0,0,0,1,2,0,1,3,0,0,0,1,0,0,1,0,0,0,3,0,0,2,0,0,0,0,3,0,2,13,0,3,0,3,0,17,0,0
2021-11-14T08,77,1,0,0,0,0,1,0,0,2,0,0,5,0,10,0,3,0,1,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,8,0,0,1,0,0,0,0,2,0,2,13,0,1,0,4,0,13,1,0
2021-11-14T09,113,1,0,0,0,0,2,0,0,0,1,0,7,0,16,0,3,0,3,5,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,19,0,0,2,0,0,0,1,3,0,7,14,1,6,0,1,0,14,0,0
2021-11-14T10,119,1,0,0,0,0,1,0,0,1,2,1,7,0,29,0,6,0,7,8,0,1,0,0,1,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,1,2,0,0,0,0,13,0,3,0,1,0,12,0,1
2021-11-14T11,123,2,0,0,0,0,1,0,0,1,0,0,6,0,28,0,5,0,7,6,0,1,0,0,0,0,0,2,0,8,1,0,0,0,1,0,0,0,0,0,0,16,0,0,2,0,0,0,0,2,0,1,7,0,5,1,7,3,9,0,1
2021-11-14T12,131,1,0,1,0,0,0,0,0,1,1,0,7,1,36,0,4,0,7,5,0,1,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,1,14,0,0,2,2,0,0,0,1,0,1,10,0,12,0,1,1,14,0,1
2021-11-14T13,161,0,0,0,0,0,0,1,0,1,1,1,8,0,34,0,2,0,4,7,0,3,0,0,0,0,0,0,0,11,1,1,0,0,0,0,1,0,0,0,0,29,0,0,2,1,0,1,0,1,0,1,13,0,14,1,8,0,14,0,0
2021-11-14T14,198,0,0,0,0,0,0,1,0,1,1,1,4,0,53,0,1,0,7,13,0,3,0,0,0,0,0,2,0,12,9,0,0,0,0,0,0,0,1,0,2,30,0,0,2,1,0,0,0,2,0,0,10,0,12,0,7,3,19,0,1
2021-11-14T15,202,1,0,0,1,0,0,0,1,2,0,0,6,0,48,0,2,0,12,9,1,4,0,0,0,0,0,1,0,19,1,0,0,0,0,0,0,0,1,0,3,31,0,0,3,1,1,1,0,5,0,4,10,0,11,1,4,2,15,0,1
2021-11-14T16,237,0,0,0,0,0,0,4,1,3,3,0,5,0,57,0,3,0,24,13,1,3,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,1,19,0,0,3,2,1,2,0,5,0,2,11,0,12,0,5,0,31,0,1
2021-11-14T17,223,3,0,0,0,1,1,4,0,4,2,0,8,0,54,0,9,0,15,21,1,2,2,1,0,0,0,0,0,24,1,0,0,0,0,0,0,0,0,0,2,12,0,0,2,1,2,2,0,3,0,5,10,0,7,0,3,0,21,0,0
2021-11-14T18,154,1,0,0,0,0,2,0,0,2,1,0,2,0,28,1,7,0,13,14,1,1,0,1,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,2,8,0,0,0,1,0,0,0,2,0,6,8,0,3,2,2,1,28,0,0
