bucket,total,--,AE,AR,AT,AU,BA,BB,BD,BE,BG,BR,CA,CH,CI,CL,CN,CO,CZ,DE,DK,DZ,EE,ES,FI,FR,GB,GE,GI,GR,HK,HU,ID,IE,IL,IN,IT,JP,KH,KR,KW,KZ,LA,LB,LK,LT,LV,MD,ML,MO,MX,MY,NA,NG,NL,NO,NZ,PE,PH,PK,PL,PS,PT,QA,RO,RS,RU,RW,SD,SE,SG,SI,SK,TH,TR,TW,UA,US,UY,VN,ZA
2021-12-05T00,127,2,0,0,0,1,0,0,0,3,0,1,7,0,0,0,4,0,0,21,0,0,0,2,0,5,9,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,1,0,2,0,2,0,1,0,3,0,0,2,7,0,0,3,0,2,1,29,0,0,0
2021-12-05T01,110,2,0,0,0,0,0,1,0,1,0,2,9,1,0,1,7,0,0,11,0,0,0,1,0,2,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,2,0,0,1,7,0,0,0,1,1,0,41,0,0,0
2021-12-05T02,94,4,0,0,0,5,0,0,0,1,0,0,8,0,0,0,5,0,0,9,0,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,0,0,2,0,1,0,38,0,0,0
2021-12-05T03,91,2,0,0,0,1,0,0,0,0,0,0,8,0,0,0,6,0,0,4,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,0,1,0,4,0,0,1,14,0,0,0,0,2,2,33,0,0,0
2021-12-05T04,78,2,0,0,0,1,0,0,0,1,0,1,6,0,0,0,6,0,0,6,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,12,0,0,0,0,5,0,25,0,0,0
2021-12-05T05,77,2,0,0,0,3,0,0,0,0,0,0,4,0,0,0,6,0,1,4,0,0,0,0,0,1,3,0,0,0,1,0,2,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,8,0,0,0,0,2,0,26,0,0,0
2021-12-05T06,91,2,0,1,0,2,0,0,0,1,0,0,0,0,0,0,3,0,4,6,0,0,0,0,0,0,4,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,2,0,0,1,11,0,0,1,0,7,2,29,0,0,0
2021-12-05T07,100,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,1,6,0,0,0,7,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,2,0,0,0,0,0,1,0,5,0,0,1,7,0,0,2,0,3,0,29,0,5,0
2021-12-05T08,125,3,0,1,0,0,0,0,0,4,1,0,2,1,0,0,7,0,0,25,0,0,0,1,0,5,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,12,0,1,0,1,0,0,0,1,0,1,0,3,0,0,2,9,0,0,3,1,4,0,28,0,0,0
2021-12-05T09,177,2,0,1,2,0,0,0,0,2,0,0,0,1,0,0,10,0,0,70,0,0,0,1,0,11,3,0,0,0,2,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,20,0,2,0,2,0,1,0,0,0,0,0,3,0,0,2,5,0,1,1,1,3,2,20,0,0,0
