bucket,total,--,AD,AE,AR,AT,AU,BA,BB,BD,BE,BG,BR,BS,BY,CA,CH,CL,CM,CN,CO,CR,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,KZ,LA,LT,LU,LV,MC,MD,MG,MM,MN,MO,MQ,MX,MY,MZ,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,RO,RS,RU,RW,SA,SC,SE,SG,SI,SK,SY,TH,TR,TT,TW,UA,US,UY,VE,VN,VU,ZA
2021-11-01,1567,8,0,3,5,5,17,1,6,1,8,0,17,0,0,58,8,1,0,51,0,1,1,268,0,1,0,0,1,1,26,0,5,64,91,0,2,18,0,2,8,5,2,1,2,94,14,0,0,2,0,0,8,3,1,0,0,0,0,1,0,0,3,11,0,0,87,4,0,4,0,0,11,0,6,0,10,11,1,32,2,1,0,28,83,0,1,4,56,6,2,26,4,352,0,0,9,0,2
2021-11-02,1983,12,0,3,11,6,7,1,2,0,7,1,8,0,0,118,11,5,0,56,0,0,2,276,3,1,0,0,0,1,22,0,1,65,70,0,3,16,0,2,4,7,0,5,0,67,10,0,0,3,0,0,8,3,0,0,0,0,0,2,0,0,2,9,0,0,107,1,1,2,0,0,22,0,8,0,1,8,0,352,0,0,0,25,77,0,1,4,68,8,0,29,8,417,0,0,13,0,1
2021-11-03,1814,10,0,2,9,1,22,1,0,1,12,0,7,0,0,92,8,9,0,72,1,0,1,288,1,1,0,0,0,0,23,0,3,52,89,0,2,16,2,0,0,6,0,5,0,79,11,0,1,1,1,0,6,2,1,0,0,1,0,0,0,1,10,10,0,0,92,2,0,0,0,0,11,0,9,1,3,16,0,132,1,0,0,34,110,0,0,0,87,11,0,22,7,403,0,0,11,0,2
2021-11-04,1707,10,0,0,19,1,20,1,0,0,5,1,17,0,0,106,6,10,0,59,5,0,5,251,5,1,1,0,0,0,22,0,5,50,81,2,1,19,0,0,8,6,0,3,0,70,17,0,2,8,0,0,7,1,0,0,0,0,0,2,2,0,12,17,0,0,71,0,0,1,0,0,14,0,8,0,6,9,0,21,1,0,0,20,99,0,0,1,57,6,0,27,98,386,2,0,20,1,1
2021-11-05,1641,10,0,1,6,1,19,1,0,0,6,0,12,0,0,78,10,6,1,77,1,0,0,279,0,1,0,0,0,1,18,0,2,56,82,0,2,17,0,1,3,8,1,6,0,87,11,0,2,5,0,0,10,2,0,0,1,0,1,0,0,0,7,11,2,0,87,1,2,2,0,0,12,1,5,0,3,10,1,22,0,1,0,17,107,0,1,0,67,6,0,35,7,392,0,0,15,0,2
2021-11-06,1672,11,0,0,3,3,8,0,1,0,7,2,15,0,1,84,10,5,1,61,0,0,2,260,1,0,0,0,0,2,23,0,2,53,69,0,1,18,0,4,5,4,1,5,2,84,7,1,0,6,0,0,7,2,0,0,1,0,2,0,3,0,8,7,0,1,83,3,0,4,0,1,6,0,8,0,5,10,0,25,3,0,0,16,128,0,0,0,91,4,1,32,6,434,0,0,18,0,1
2021-11-07,1704,14,0,0,4,4,10,2,0,0,6,0,15,0,0,73,12,2,0,61,3,0,3,294,3,0,0,1,0,0,32,0,2,67,89,1,4,19,0,4,5,8,0,4,1,85,5,0,3,4,0,2,6,1,0,0,1,0,1,0,0,0,3,11,0,0,94,3,0,2,0,1,9,0,11,0,2,7,1,32,2,1,0,40,132,0,0,0,102,5,0,19,6,350,0,0,19,0,1
2021-11-08,1571,7,0,0,3,1,10,0,0,0,6,2,10,0,0,64,7,2,0,61,1,0,0,268,0,0,0,0,0,1,20,0,3,45,98,0,2,13,0,2,3,7,1,3,0,65,13,1,0,6,0,5,7,1,1,0,0,0,0,0,0,0,7,7,0,0,105,6,1,5,0,1,9,0,10,0,6,11,1,32,0,0,0,27,147,0,0,0,94,11,0,18,2,316,1,0,14,0,1
2021-11-09,1695,12,0,2,7,4,15,2,2,0,7,1,12,1,2,126,11,3,0,69,0,0,0,306,3,0,0,0,0,1,21,0,5,52,95,0,3,6,0,1,4,2,0,2,0,71,15,1,0,3,0,0,7,1,0,0,0,0,0,1,0,0,15,7,0,1,101,1,0,1,0,3,23,0,9,0,5,6,1,25,1,0,0,20,141,0,1,0,76,8,0,23,6,333,0,0,11,0,1
2021-11-10,1659,10,0,3,7,1,16,0,0,0,7,1,19,0,0,98,8,5,1,58,0,0,0,294,2,0,0,0,0,0,30,0,1,55,77,1,2,12,0,4,1,5,1,4,1,77,9,0,0,3,1,0,7,1,0,1,0,0,0,0,0,0,7,8,0,0,101,3,0,1,0,1,10,0,7,0,10,6,0,26,0,0,0,23,135,2,1,0,88,9,0,19,8,359,0,0,10,0,2
