bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BG,BJ,BR,CA,CH,CL,CN,CZ,DE,DO,EG,ES,FR,GB,GR,HK,HU,ID,IE,IN,IR,IT,JP,KG,KH,KR,LK,LT,LV,ME,MK,MM,MN,MO,MX,MY,NL,NO,NZ,PE,PH,PK,PL,PT,RO,RU,RW,SA,SE,SG,SY,TH,TR,TW,UA,US,VN,ZA,ZW
2024-07-14T00,89,1,0,0,0,2,0,0,3,0,0,0,0,3,0,0,4,0,8,0,0,2,0,3,0,1,1,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,2,1,0,2,0,0,0,1,0,0,1,0,0,0,6,0,0,0,0,0,41,0,0,0
2024-07-14T01,75,4,0,0,0,1,0,0,1,1,1,0,1,6,0,0,7,0,7,0,0,0,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,6,0,1,0,0,0,28,0,0,0
2024-07-14T02,79,3,0,0,0,0,0,0,2,0,0,0,1,6,0,0,7,0,7,0,1,0,1,4,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6,1,0,0,1,0,30,0,0,1
2024-07-14T03,77,4,0,1,0,1,0,0,1,1,0,0,1,1,0,0,7,0,6,0,1,0,1,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,6,1,0,0,1,1,34,0,0,0
2024-07-14T04,97,2,0,0,0,1,0,0,1,0,0,0,0,4,0,0,19,0,4,0,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,1,0,0,5,0,0,0,3,0,41,0,1,0
2024-07-14T05,88,4,0,0,0,0,0,0,1,0,0,0,0,3,0,0,16,0,5,0,0,0,2,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,0,3,0,5,0,31,0,0,0
2024-07-14T06,84,2,0,0,0,1,0,0,1,0,0,0,0,1,0,0,18,0,8,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,5,0,4,1,2,0,29,0,0,0
2024-07-14T07,87,3,0,1,0,1,0,0,1,1,0,0,0,0,0,0,17,0,6,0,0,1,1,4,0,1,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,5,0,5,0,2,0,27,0,0,0
2024-07-14T08,117,2,0,1,0,1,0,0,1,0,0,0,0,6,0,0,23,0,12,0,0,0,4,4,0,1,0,0,0,2,0,2,1,0,1,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,1,0,1,0,0,0,6,0,8,1,1,0,29,1,0,0
2024-07-14T09,114,2,1,0,0,1,0,0,1,0,2,0,0,1,1,0,19,0,15,0,0,1,5,7,0,1,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,1,0,0,0,0,0,1,1,0,0,0,5,0,7,0,0,0,26,0,0,0
2024-07-14T10,111,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,17,0,17,0,0,1,3,7,0,1,0,0,0,1,0,3,2,0,0,1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,1,0,0,1,5,0,6,1,2,0,30,0,0,0
2024-07-14T11,90,3,0,0,0,0,0,0,1,1,0,0,0,1,0,0,13,0,13,0,0,1,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,5,0,1,0,1,0,2,0,1,2,0,1,0,5,0,2,2,1,0,21,0,1,0
2024-07-14T12,127,1,0,1,0,0,0,0,1,1,0,0,2,5,0,0,25,0,14,0,0,1,7,5,1,1,0,0,0,1,3,1,3,0,0,2,0,1,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,1,4,0,0,1,6,0,6,0,2,0,23,1,0,0
2024-07-14T13,145,4,0,2,0,1,0,1,2,1,0,1,0,1,0,0,20,0,16,1,0,2,6,8,0,4,0,1,0,1,1,3,3,0,0,2,0,2,0,0,0,0,0,0,0,1,7,0,0,0,1,0,1,0,2,4,0,0,1,7,0,10,0,2,0,24,2,0,0
2024-07-14T14,161,3,0,1,0,1,0,0,2,1,0,0,2,6,0,0,19,0,20,0,0,2,8,12,0,0,1,1,0,1,1,7,2,0,0,2,0,0,0,1,1,0,0,0,0,1,7,0,0,0,1,0,0,0,0,3,0,0,0,7,0,10,0,2,0,36,0,0,0
2024-07-14T15,155,2,1,1,0,0,0,0,1,2,0,0,0,4,2,0,22,0,14,0,0,1,15,7,0,1,0,0,0,0,0,14,0,0,1,0,0,2,0,1,0,0,1,0,0,1,7,0,1,0,1,0,1,0,1,2,1,0,1,5,0,13,0,2,0,27,0,0,0
2024-07-14T16,135,3,0,0,0,0,0,0,1,2,1,0,0,3,1,1,5,1,16,0,0,3,16,10,0,1,0,0,1,0,0,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,1,0,1,0,1,2,0,0,2,7,0,9,1,1,0,24,1,0,0
2024-07-14T17,142,1,0,0,1,0,1,0,1,2,0,0,2,4,0,1,6,0,18,0,0,3,10,8,0,4,0,0,0,0,2,13,3,0,0,0,0,1,0,1,0,0,1,0,0,0,8,0,0,0,1,0,1,1,1,1,0,1,4,7,0,11,0,1,0,19,1,2,0
2024-07-14T18,86,2,0,0,0,0,0,0,1,0,0,0,1,1,1,1,6,0,12,0,0,3,3,4,0,0,0,0,0,0,0,6,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,1,1,0,0,2,5,0,5,0,0,0,20,0,0,0
