bucket,total,--,AE,AM,AR,AT,AU,AZ,BA,BD,BE,BG,BJ,BO,BR,BY,CA,CH,CI,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HU,ID,IE,IL,IN,IR,IS,IT,JP,KE,KG,KH,KR,KZ,LA,LC,LK,LT,LV,MA,MD,ME,MK,MM,MN,MO,MU,MX,MY,NL,NO,NZ,PA,PE,PH,PK,PL,PT,PY,RO,RU,RW,SA,SE,SG,SI,SK,SY,TH,TM,TR,TW,UA,US,UY,UZ,VE,VN,ZA,ZW
2024-07-14T00,89,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,2,0,0,0,3,0,0,1,1,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0
2024-07-14T01,75,4,0,0,0,0,1,0,0,1,1,1,0,0,1,0,6,0,0,0,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0,28,0,0,0,0,0,0
2024-07-14T02,79,3,0,0,0,0,0,0,0,2,0,0,0,0,1,0,6,0,0,0,0,7,0,0,0,7,0,0,0,0,0,1,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,1,0,30,0,0,0,0,0,1
2024-07-14T03,77,4,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,7,0,0,0,6,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,0,1,0,0,0,1,1,34,0,0,0,0,0,0
2024-07-14T04,97,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,19,0,0,0,4,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,1,0,0,5,0,0,0,0,0,0,3,0,41,0,0,0,0,1,0
2024-07-14T05,88,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,16,0,0,0,5,0,0,0,0,0,0,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,3,0,0,5,0,31,0,0,0,0,0,0
2024-07-14T06,84,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,8,0,0,0,0,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,5,0,0,0,4,0,1,2,0,29,0,0,0,0,0,0
2024-07-14T07,87,3,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,6,0,0,0,0,0,0,1,0,0,1,4,0,0,1,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,0,0,5,0,0,2,0,27,0,0,0,0,0,0
2024-07-14T08,117,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,23,0,0,0,12,0,0,0,0,0,0,0,0,0,4,4,0,0,1,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,0,1,0,0,0,6,0,0,0,8,0,1,1,0,29,0,0,0,1,0,0
2024-07-14T09,114,2,1,0,0,0,1,0,0,1,0,2,0,0,0,0,1,1,0,0,0,19,0,0,0,15,0,0,0,0,0,0,1,0,0,5,7,0,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,7,0,0,0,0,26,0,0,0,0,0,0
