bucket,total,--,AD,AE,AL,AM,AO,AR,AT,AU,AW,AZ,BA,BB,BD,BE,BF,BG,BH,BO,BR,BW,BY,CA,CH,CI,CL,CM,CN,CO,CR,CV,CY,CZ,DE,DK,DM,DO,DZ,EC,EE,EG,ES,ET,FI,FR,GB,GE,GF,GM,GR,GT,GY,HK,HN,HR,HU,ID,IE,IL,IN,IQ,IR,IS,IT,JE,JO,JP,KE,KG,KH,KR,KW,KZ,LA,LB,LI,LT,LU,LV,MA,MD,MG,MK,MM,MN,MO,MQ,MT,MU,MW,MX,MY,MZ,NA,NG,NL,NO,NP,NZ,OM,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SC,SD,SE,SG,SI,SK,SN,SR,SS,SV,SY,TH,TM,TN,TR,TT,TW,TZ,UA,UG,US,UY,UZ,VE,VN,ZA,ZM,ZW
2023-02-01,1446,15,0,0,0,0,0,7,7,16,0,0,0,1,1,8,0,1,0,0,16,0,3,97,9,0,1,1,65,4,0,0,0,2,187,5,0,1,1,1,0,2,15,0,4,72,59,2,0,0,0,0,0,17,0,3,3,2,1,0,12,0,5,1,81,0,0,22,1,0,1,24,0,0,1,0,0,2,0,2,1,0,0,0,2,0,1,0,0,0,0,4,3,0,0,1,67,1,0,7,0,0,0,10,1,6,0,7,1,10,0,19,3,1,1,0,14,23,1,1,0,0,0,0,1,44,0,1,10,0,36,1,1,1,373,1,0,2,7,1,0,1
2023-02-02,1443,10,0,2,0,0,0,6,3,14,0,0,0,0,0,4,0,1,0,0,28,0,2,73,6,0,1,0,95,6,0,0,1,1,196,2,0,1,0,0,0,2,20,0,3,57,82,0,0,0,0,0,0,52,0,0,1,5,4,0,10,0,3,0,71,1,0,21,1,0,1,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,0,86,4,0,11,0,0,2,2,0,4,0,5,0,10,2,22,1,0,1,0,17,29,1,6,0,0,0,0,0,34,0,1,6,0,33,0,1,0,338,0,0,0,10,3,0,0
2023-02-03,1390,11,0,1,0,0,0,11,2,13,0,0,0,0,1,7,0,3,0,0,14,0,0,85,10,0,0,0,76,6,0,0,0,3,216,1,0,9,0,1,0,0,25,1,3,63,64,0,1,1,2,0,0,16,0,0,1,5,2,0,13,0,3,0,60,0,2,16,2,0,1,30,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,82,0,0,2,0,0,1,5,1,7,0,7,1,8,0,29,1,0,1,0,8,20,1,1,0,0,0,0,0,23,0,0,11,0,30,0,2,0,340,0,0,1,10,0,0,0
2023-02-04,1765,12,0,4,0,0,0,16,5,11,0,0,0,0,0,7,0,0,0,0,13,1,1,83,8,0,4,0,108,3,0,0,0,0,197,1,0,1,0,0,0,0,21,0,6,76,87,0,0,0,2,0,0,34,0,0,3,4,37,1,28,0,3,0,82,0,0,58,1,0,0,29,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,2,68,2,0,3,0,1,0,2,3,8,0,6,0,11,2,19,0,0,1,0,12,16,1,0,0,0,0,0,0,29,0,2,8,1,30,0,3,1,566,0,0,0,7,1,0,1
2023-02-05,1403,20,0,0,0,0,0,12,3,11,0,0,0,1,0,9,0,0,1,0,18,0,1,74,6,0,2,0,94,1,1,0,0,2,192,4,0,0,1,1,0,0,32,0,2,81,73,0,0,0,3,0,0,14,0,0,2,7,2,2,15,0,0,0,89,0,0,21,0,0,0,21,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,5,7,0,0,0,81,1,0,2,0,0,2,3,1,10,0,4,0,8,2,30,0,0,0,0,21,22,0,1,1,0,0,0,0,36,1,1,11,0,50,0,1,0,271,0,1,0,4,3,0,0
2023-02-06,1492,13,0,0,0,0,0,10,6,13,0,0,0,0,1,9,0,1,0,1,19,0,0,91,6,0,1,0,79,3,1,0,0,4,204,1,0,1,1,0,0,0,20,0,2,69,72,1,0,0,3,1,1,11,0,0,4,9,1,0,18,1,3,0,77,0,0,21,0,0,1,28,0,1,0,0,0,3,1,2,1,0,0,0,1,0,0,1,0,0,0,2,3,0,0,1,90,4,0,0,0,0,3,5,2,6,0,6,1,4,2,31,1,0,0,0,23,21,0,1,0,0,0,0,0,41,0,0,10,0,49,0,7,0,354,0,1,1,3,1,0,1
2023-02-07,1421,15,1,3,0,0,0,3,3,14,0,0,0,0,2,7,0,0,0,0,15,0,1,92,4,0,2,1,91,3,0,0,0,2,175,7,0,1,0,0,1,0,22,0,5,85,93,1,0,0,1,0,0,21,0,0,2,7,3,0,5,0,2,0,76,0,0,29,2,0,0,20,1,0,0,0,0,2,4,1,1,1,0,0,0,0,0,0,0,0,0,3,6,0,0,1,85,4,1,2,0,0,0,3,2,9,0,5,1,5,0,24,1,0,0,0,16,19,1,1,0,1,0,0,0,30,0,0,6,1,36,0,5,0,311,0,1,4,9,1,0,0
2023-02-08,1539,16,0,2,0,0,1,8,6,7,0,0,1,1,2,7,1,3,0,0,13,0,1,109,8,0,3,1,105,4,0,0,0,2,202,2,0,2,0,0,0,1,29,0,4,66,69,1,0,0,1,0,0,29,0,1,3,9,1,1,22,0,3,0,65,1,0,42,1,1,2,20,0,2,0,0,0,2,5,2,1,0,0,0,0,0,0,0,0,1,0,6,2,0,0,3,84,2,0,5,0,0,1,7,2,6,0,6,0,9,0,22,1,1,0,0,28,31,0,2,0,0,0,0,0,29,0,2,4,1,31,0,4,0,345,1,0,1,8,2,1,0
2023-02-09,1475,15,0,2,0,1,0,5,2,12,0,0,0,0,2,7,0,3,0,0,8,0,3,84,6,0,0,0,100,5,0,0,0,0,193,2,0,2,0,0,0,1,25,0,5,69,89,1,0,0,2,0,0,55,0,1,1,5,33,0,12,0,4,0,59,0,0,15,0,0,0,25,0,0,1,0,0,2,3,0,1,0,1,0,1,0,0,0,0,0,0,7,12,0,0,2,79,2,1,2,0,0,0,5,1,8,0,6,1,3,1,20,0,0,1,0,11,30,0,1,0,0,0,0,0,40,0,0,6,1,33,0,3,0,326,1,0,0,8,1,0,0
2023-02-10,1385,17,0,2,0,0,0,13,3,9,0,0,0,0,3,5,0,8,0,1,13,0,7,68,7,0,2,0,65,5,0,2,1,1,196,2,0,1,0,0,1,1,27,0,3,67,68,0,0,0,0,0,0,29,0,0,2,2,1,1,12,0,3,0,75,0,0,9,0,0,4,26,0,1,1,1,0,0,2,1,2,0,0,0,0,0,2,0,1,0,1,8,4,0,0,0,81,2,1,8,0,1,0,8,1,6,0,11,0,4,0,19,1,1,1,0,15,10,0,1,0,0,0,0,0,31,0,0,7,0,41,1,5,0,322,0,0,0,16,5,0,0
