bucket,total,--,AE,AL,AM,AR,AT,AU,AZ,BD,BE,BG,BR,BY,CA,CH,CL,CN,CO,CY,CZ,DE,DK,DM,DO,EC,EE,ES,FI,FR,GB,GE,GR,GT,HK,HN,HU,ID,IE,IL,IN,IR,IS,IT,JE,JP,KE,KH,KR,LA,LB,LT,LU,LV,MA,MD,MM,MO,MX,MY,MZ,NG,NL,NO,NZ,PH,PK,PL,PT,PY,RO,RU,RW,SA,SC,SD,SE,SG,SK,SN,SV,TH,TR,TT,TW,TZ,UA,US,UZ,VE,VN,ZA,ZW
2023-02-12T00,132,2,0,0,0,0,0,0,0,1,1,0,0,0,9,0,0,3,1,0,0,18,0,0,0,0,0,3,1,3,10,0,0,0,2,0,0,0,0,0,0,1,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,7,0,0,1,0,2,0,0,1,0,0,0,0,0,3,6,0,0,1,0,0,0,0,0,0,38,0,2,0,0,1
2023-02-12T01,86,1,0,0,0,0,0,0,0,1,0,0,1,0,8,0,0,3,1,0,0,7,0,0,0,0,0,3,1,2,5,0,0,0,3,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,5,0,0,1,0,0,0,2,0,0,28,0,1,0,0,1
2023-02-12T02,97,1,0,0,0,0,0,0,0,0,1,0,1,0,12,0,0,5,1,0,0,5,0,0,0,0,0,1,0,2,2,0,0,0,2,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,0,2,6,0,1,0,0,1,0,3,0,0,39,0,0,0,0,0
2023-02-12T03,92,2,0,0,0,1,0,0,0,0,0,0,2,0,9,0,0,1,1,0,0,6,0,0,0,0,0,1,0,5,3,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,0,2,6,0,0,0,1,1,0,3,0,0,35,0,0,1,0,0
2023-02-12T04,86,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,11,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,0,1,6,0,0,0,0,1,0,2,0,0,35,0,0,1,0,1
2023-02-12T05,101,2,0,1,0,1,0,1,0,1,0,0,0,0,3,0,0,18,0,0,0,5,0,0,0,0,0,0,0,2,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,5,0,0,0,0,3,7,0,0,0,0,0,0,4,0,1,29,0,0,0,0,1
2023-02-12T06,86,1,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,19,0,0,0,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,2,0,0,0,0,3,7,0,0,0,2,0,0,4,0,0,26,0,0,0,0,0
2023-02-12T07,87,2,0,0,0,0,0,5,0,0,0,0,0,0,3,1,0,19,0,0,0,6,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,2,5,0,0,0,3,0,0,0,0,0,26,0,0,0,0,0
2023-02-12T08,86,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,15,0,0,0,12,0,0,0,0,0,2,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,5,0,0,0,0,0,0,2,0,0,25,0,0,0,0,0
2023-02-12T09,101,3,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,23,0,0,0,15,0,0,0,0,0,1,0,7,2,0,0,0,3,0,1,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,1,1,0,1,0,0,5,5,0,0,0,2,0,0,1,0,0,16,0,0,0,0,0
