bucket,total,--,AE,AR,AT,AU,AZ,BD,BE,BF,BG,BH,BO,BR,CA,CH,CL,CM,CN,CO,CY,CZ,DE,DK,DO,DZ,EC,EG,ES,FI,FR,GB,GR,GT,HK,HR,HU,ID,IE,IL,IN,IR,IS,IT,JE,JP,KH,KR,KW,KZ,LA,LT,LU,LV,LY,MA,MK,MO,MU,MW,MX,MY,MZ,NA,NG,NL,NO,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RS,RU,RW,SA,SD,SE,SG,SK,SZ,TH,TN,TR,TW,TZ,UA,UG,US,VE,VN,ZA,ZW
2023-01-29T00,166,2,0,1,0,2,0,0,0,0,0,0,0,3,9,1,1,1,7,0,0,0,24,0,0,0,0,0,2,1,2,8,0,0,2,0,0,0,0,0,0,0,0,11,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,2,7,0,0,0,0,0,0,0,0,1,55,0,0,0,0
2023-01-29T01,130,1,0,1,0,3,0,0,0,0,0,0,0,4,18,0,2,1,5,1,0,0,12,0,0,0,0,0,3,0,1,4,0,0,3,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,6,0,0,1,0,0,2,0,0,1,41,0,0,0,0
2023-01-29T02,95,1,0,1,0,0,0,0,0,0,0,0,0,1,12,0,1,0,3,0,0,0,6,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,3,0,0,0,43,0,0,0,0
2023-01-29T03,96,2,0,3,0,0,0,0,0,0,0,0,0,0,9,0,0,0,9,0,0,0,6,0,0,0,0,0,2,0,0,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,6,0,0,1,0,0,2,0,0,0,39,0,1,0,0
2023-01-29T04,98,2,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,0,6,0,0,0,7,0,0,0,0,0,1,0,2,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,2,9,0,0,0,0,0,1,0,0,0,46,0,0,0,0
2023-01-29T05,92,1,0,1,0,2,0,0,0,0,1,0,0,0,5,0,0,0,4,0,0,0,11,0,0,0,0,0,2,0,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,6,0,0,2,0,1,3,0,0,0,36,0,2,0,0
2023-01-29T06,106,1,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,9,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,2,8,0,0,2,0,1,9,0,0,0,41,0,2,0,0
2023-01-29T07,73,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,9,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,2,5,0,0,2,0,1,3,0,0,0,29,0,1,0,0
2023-01-29T08,93,3,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,5,1,0,0,14,0,0,0,1,0,0,1,4,3,0,0,3,0,0,1,0,0,0,0,0,3,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,2,6,0,0,0,0,2,3,0,0,0,22,0,0,0,0
2023-01-29T09,107,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,5,1,0,0,15,0,0,0,1,0,1,1,10,5,0,0,3,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,0,1,0,0,1,0,1,1,0,0,1,0,3,0,0,1,2,5,0,0,3,0,1,1,0,0,0,25,0,0,0,0
2023-01-29T10,116,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,19,1,0,0,25,0,0,0,0,1,3,1,5,5,0,0,1,0,0,1,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,7,0,0,1,0,0,3,0,0,0,18,0,0,0,0
2023-01-29T11,140,2,0,1,0,0,0,0,1,0,0,0,0,3,4,0,0,0,20,0,0,0,20,1,0,0,0,1,14,1,6,3,0,0,3,0,1,1,0,0,1,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,2,0,2,0,0,0,2,2,2,0,0,0,1,5,0,0,4,0,2,0,0,0,0,20,0,1,0,0
2023-01-29T12,158,1,0,1,0,1,0,0,0,0,0,0,0,1,4,1,0,0,19,1,0,0,30,0,0,0,0,0,4,1,10,6,0,0,2,0,0,2,0,1,4,0,0,4,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,5,0,0,0,0,1,0,2,0,0,0,2,0,4,0,0,0,2,6,0,1,5,0,1,4,1,0,0,23,0,1,0,0
2023-01-29T13,152,2,0,1,0,1,0,0,1,0,0,0,0,1,3,1,0,0,20,1,0,0,32,0,0,0,0,0,4,0,13,7,0,0,2,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,4,0,3,0,0,0,1,0,1,0,0,0,2,5,0,1,7,0,0,4,1,0,0,19,0,0,0,0
2023-01-29T14,158,1,0,0,0,0,0,0,1,0,0,0,0,2,4,1,0,0,18,0,0,0,37,0,0,0,0,0,3,0,12,10,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,2,0,3,0,1,0,1,0,2,0,0,0,4,7,0,0,7,0,0,2,0,0,0,18,0,0,0,0
2023-01-29T15,180,2,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,0,27,0,0,0,37,0,0,0,0,0,5,0,8,16,0,0,2,0,0,0,0,0,0,1,0,9,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,1,0,2,0,1,0,0,0,2,0,0,0,4,5,0,0,5,0,1,1,0,0,0,22,0,0,0,0
2023-01-29T16,224,2,0,1,1,0,0,0,2,1,0,0,0,3,10,4,0,0,6,2,0,0,36,1,0,0,0,0,6,0,19,11,0,0,1,1,1,0,0,0,0,1,0,21,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,2,18,0,0,0,1,1,0,4,0,1,0,0,0,7,0,0,0,5,10,0,0,2,0,1,2,0,0,0,34,0,1,0,0
2023-01-29T17,257,1,0,0,0,0,0,0,0,1,0,0,0,2,9,1,0,0,26,1,0,1,37,0,0,1,0,0,7,0,18,16,0,0,4,1,0,0,0,0,1,1,0,29,0,7,0,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,14,0,0,0,0,0,0,5,0,1,0,0,0,3,0,0,0,3,8,0,0,7,0,1,4,0,0,0,41,0,0,0,0
