bucket,total,--,AE,AR,AT,AU,BD,BE,BG,BO,BR,BY,CA,CH,CL,CN,CO,CR,CZ,DE,DK,DO,DZ,EE,EG,ES,ET,FI,FR,GB,GE,GR,HK,HR,HU,ID,IE,IL,IN,IR,IT,JP,KE,KH,KR,LB,LT,LU,LV,MA,MD,MK,MM,MN,MO,MR,MX,MY,NE,NG,NL,NO,NP,NZ,PA,PE,PH,PK,PL,PS,PT,PY,RO,RU,RW,SA,SC,SE,SG,SI,TH,TN,TR,TW,TZ,UA,US,UY,UZ,VE,VN,WS,ZA,ZM
2023-03-19T00,103,3,0,0,0,0,0,0,0,0,0,0,11,0,0,3,1,1,0,9,0,0,0,0,0,1,0,0,3,10,0,0,1,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,5,2,0,0,4,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,2,5,0,1,0,0,0,0,2,23,0,0,0,1,0,0,0
2023-03-19T01,110,2,0,2,0,1,0,0,0,0,1,0,12,1,0,5,1,1,0,5,1,0,0,0,1,1,0,0,2,7,0,0,3,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,4,0,0,2,0,0,2,0,1,0,1,0,5,1,0,0,1,2,5,0,0,0,0,1,0,2,29,0,0,0,0,0,0,0
2023-03-19T02,98,3,0,2,0,3,0,0,0,0,2,0,15,0,0,0,1,0,0,6,0,0,0,0,0,1,0,0,1,5,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,3,0,2,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,6,0,0,0,0,0,0,1,32,0,0,0,1,0,0,0
2023-03-19T03,77,5,0,1,0,1,1,0,0,0,1,0,7,0,1,4,1,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,3,0,0,0,1,7,0,1,0,0,0,0,0,25,0,0,0,0,0,0,0
2023-03-19T04,82,4,0,2,0,1,1,0,0,0,1,0,9,0,1,2,0,0,0,6,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,1,6,0,2,0,0,2,0,0,32,0,0,0,0,0,0,0
2023-03-19T05,71,1,0,0,0,1,0,0,0,0,0,0,5,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,5,0,1,0,0,2,0,0,30,0,0,0,0,0,0,0
2023-03-19T06,85,2,0,0,0,0,0,0,0,1,1,0,4,0,0,2,0,0,0,6,0,0,0,1,0,0,0,0,2,5,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,6,0,1,0,0,7,0,0,31,0,0,0,1,0,0,1
2023-03-19T07,139,2,0,1,0,0,0,0,0,0,0,0,2,1,0,5,0,0,0,8,1,0,0,1,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,5,0,2,0,0,2,0,0,96,0,0,0,0,0,0,1
2023-03-19T08,93,3,0,0,0,0,0,1,0,0,0,0,3,2,0,4,1,0,1,11,1,0,0,0,0,0,0,0,3,4,0,0,7,0,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,4,0,0,0,5,7,0,1,0,1,1,0,0,19,1,0,0,2,0,0,1
2023-03-19T09,80,2,0,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,1,20,1,0,0,0,0,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,5,7,0,2,0,0,0,0,0,16,0,0,0,2,0,0,0
2023-03-19T10,156,2,0,0,0,2,0,0,0,0,0,0,2,2,0,5,0,0,0,26,1,0,0,0,0,3,0,0,8,9,0,2,1,1,0,0,0,0,0,0,6,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,1,0,0,0,0,4,1,0,0,2,7,0,3,0,0,0,0,0,52,0,0,0,1,1,0,0
2023-03-19T11,111,2,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,19,2,0,0,0,0,1,0,0,3,7,0,0,1,2,0,0,0,0,3,0,9,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,2,0,1,0,0,4,0,0,0,1,6,0,4,0,0,2,0,0,22,0,0,0,0,1,0,0
2023-03-19T12,110,2,0,0,0,0,0,2,0,0,0,0,2,0,0,5,0,0,0,24,0,0,0,0,0,0,0,2,5,6,0,0,2,1,1,0,0,0,2,0,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,2,0,3,0,0,0,0,2,0,0,0,1,5,0,5,0,1,6,0,0,13,0,0,0,0,1,0,0
2023-03-19T13,120,2,0,0,1,0,0,3,0,0,0,0,3,1,3,4,0,0,0,30,0,0,0,0,0,0,0,0,8,8,0,0,2,1,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,2,5,0,5,0,2,3,0,0,14,0,0,0,1,0,1,0
2023-03-19T14,138,3,0,0,1,0,0,0,0,0,1,0,5,2,2,2,0,0,0,24,0,0,0,0,0,1,0,0,7,8,0,0,11,0,0,0,0,0,2,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,2,6,0,8,0,4,5,0,0,21,0,0,0,0,0,0,0
2023-03-19T15,144,2,0,0,0,0,0,1,0,0,1,0,4,3,1,4,0,0,0,22,2,0,0,0,0,1,0,0,12,6,0,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,0,0,0,0,1,0,3,0,0,0,1,3,0,0,0,6,6,0,9,0,3,5,0,0,18,0,0,0,0,0,0,0
2023-03-19T16,176,3,0,0,0,0,0,1,0,0,1,0,5,4,0,4,0,0,0,35,0,0,0,0,0,2,0,0,13,9,0,0,3,0,1,0,0,1,1,0,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,8,1,0,1,0,0,1,0,3,0,0,0,0,2,0,1,0,6,6,0,6,0,4,2,0,1,31,0,0,1,0,0,0,0
2023-03-19T17,186,3,0,1,0,0,0,2,0,0,1,0,5,1,0,6,0,0,0,45,0,0,0,0,0,4,0,0,13,7,0,0,3,1,0,0,0,2,3,0,22,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,8,1,0,0,0,0,1,0,4,0,0,0,2,3,0,0,0,9,6,0,5,0,0,1,0,0,22,0,0,1,0,0,0,0
2023-03-19T18,187,2,0,1,0,0,0,2,0,0,2,0,13,2,0,1,0,0,0,42,0,0,0,0,0,4,0,0,11,11,0,0,1,1,0,0,0,1,1,0,23,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,9,1,0,0,0,0,1,0,2,0,0,0,1,3,0,0,0,8,6,0,1,0,3,0,0,0,28,0,0,0,0,0,1,0
2023-03-19T19,220,2,0,2,0,0,0,4,0,0,0,0,13,1,0,5,1,0,0,46,2,0,0,0,0,10,0,0,11,20,0,0,4,0,0,0,0,0,0,1,19,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,0,0,1,0,4,0,2,0,2,4,0,0,0,7,7,0,2,0,3,1,0,0,23,0,0,0,0,0,0,0
