bucket,total,--,AE,AR,AT,AU,AZ,BA,BD,BE,BR,CA,CH,CL,CN,CO,CR,CV,CZ,DE,DK,DZ,EG,ES,FI,FR,GB,GH,GR,GT,HK,HU,ID,IE,IL,IN,IR,IT,JO,JP,KR,KZ,LU,MA,MU,MX,MY,NL,NO,NZ,PH,PK,PL,PR,PT,RO,RS,RU,RW,SE,SG,SI,SK,TH,TR,TW,UA,US,UZ,VE,VN,ZA
2023-01-22T00,152,1,0,1,0,1,0,0,0,0,1,12,1,0,18,0,0,0,0,18,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,1,9,0,2,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,2,6,0,0,1,0,1,0,52,0,0,0,1
2023-01-22T01,100,2,0,0,0,1,0,0,0,0,1,11,1,0,21,0,0,0,0,10,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,5,0,0,0,0,0,0,27,0,0,0,0
2023-01-22T02,91,3,0,0,0,0,0,0,0,0,1,13,1,0,16,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,3,0,32,0,0,0,0
2023-01-22T03,97,3,0,1,0,0,0,0,0,0,1,13,0,0,22,0,0,0,0,4,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,5,0,0,1,0,3,0,31,0,0,0,0
2023-01-22T04,101,3,0,1,0,2,0,0,0,0,1,6,0,0,20,0,0,0,0,7,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,6,0,0,2,0,3,0,39,0,0,0,0
2023-01-22T05,80,2,0,1,0,2,0,0,0,0,0,6,0,0,16,0,0,0,0,5,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,5,0,0,1,0,2,0,28,0,0,0,0
2023-01-22T06,72,3,0,0,0,1,0,0,0,0,1,7,0,0,17,0,0,0,0,6,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,1,6,0,0,1,0,1,0,17,0,0,0,0
2023-01-22T07,66,2,0,0,0,0,0,0,0,0,0,3,0,1,17,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,0,0,2,0,0,0,21,0,0,0,0
2023-01-22T08,90,4,0,0,0,1,0,0,0,0,0,5,0,0,15,0,0,0,0,7,0,0,0,0,0,8,2,0,0,0,1,0,0,0,0,0,1,2,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2,7,0,0,1,1,5,1,19,0,0,0,0
2023-01-22T09,102,2,0,0,0,0,0,0,0,0,0,1,1,0,18,0,0,0,0,23,0,0,0,0,0,6,2,0,0,0,3,0,0,0,0,0,1,5,0,0,1,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,1,1,2,5,0,0,0,0,3,0,21,0,0,0,1
